,price
3342,10.201738576337144
8111,9.61573881119536
12060,9.67721410821299
9329,9.792555991828847
1381,9.468851067127684
1039,9.833601425071961
6872,9.674074388208323
5676,9.740674462130217
1057,9.726153537253213
7149,10.083723602839061
16625,9.388486557359657
4374,10.308785980087194
15830,9.205327830152639
15139,9.61573881119536
10842,9.61547209118311
10841,8.400659375160286
1326,10.04107321548869
11493,9.949893925350283
7107,9.738023112808596
35,9.90098442231801
8895,9.301094735244646
5162,10.307284603543595
16965,9.612466578818832
14381,9.017968479328726
15424,9.632334782035558
6728,10.201738576337144
11535,9.67721410821299
8333,9.711055051991444
295,9.392245175273795
1529,10.04107321548869
2963,9.849559210510572
16577,9.680281499268713
11359,9.543234787249512
8344,10.239959789157341
3573,9.645364282325891
8375,9.67721410821299
10140,9.726153537253213
10109,9.849559210510572
4645,9.849559210510572
17439,10.274878680310541
14031,10.163926888594034
4373,10.596509725282923
5414,10.163926888594034
739,9.825255704266555
7105,9.612466578818832
5829,9.710509415553645
16542,9.90098442231801
326,9.925738161470948
3377,9.612466578818832
3724,9.952039593118293
14021,9.29605924737872
7807,9.708080756193517
9208,10.085600754292345
3760,9.952039593118293
11609,9.615138591096644
240,10.163926888594034
10946,9.766751028962657
9822,9.841346155998279
5126,9.104979856318357
1335,9.996522418503318
6255,10.290449189079732
1828,10.164889815967427
2194,10.515966830028619
11870,8.980927207648378
11068,9.648595302907339
5919,9.90098442231801
13125,9.612466578818832
14324,8.779557455883728
7012,10.08539235583374
