,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,make,model
2,0.0013960838317871095,0.0004885971129893826,0.0007981300354003906,0.00039906503194434484,3,{'alpha': 3},-0.011283693100045534,-0.010242578176066091,-0.013085457823690302,-0.010087841894125904,-0.01426794619811995,-0.011793503438409556,0.001635027226614616,3,-0.010119972209598182,-0.01007454217823685,-0.009744295712159949,-0.010547801880377001,-0.009838591771075671,-0.010065040750289531,0.0002794002758588093,Opel,Corsa
3,0.0011966705322265625,0.0003990888702405795,0.000797891616821289,0.00039894584759375934,4,{'alpha': 4},-0.011227625573247631,-0.010130178248782115,-0.013477359073488664,-0.010477218788188573,-0.015131883198806224,-0.012088852976502643,0.0019164272071378835,4,-0.010406462201923913,-0.010382531850977067,-0.010044859657253463,-0.010827440687578224,-0.010237159170491872,-0.010379690713644908,0.00025831449859467634,Opel,Corsa
4,0.0011967182159423827,0.0003990652598506682,0.000997638702392578,4.422005889652111e-07,5,{'alpha': 5},-0.011167810178932584,-0.010038327728156231,-0.013860356764940065,-0.010861974105226713,-0.016096302673140203,-0.01240495429007916,0.00224750901823106,5,-0.010707991894179232,-0.01070677911835009,-0.010351125515827068,-0.011123747657144233,-0.010625051043696912,-0.010702939045839506,0.00024777387495820497,Opel,Corsa
5,0.0013960838317871095,0.0004885971129893826,0.000997638702392578,1.9073486328124998e-07,6,{'alpha': 6},-0.011116027559074395,-0.00997094089892581,-0.01423734561392263,-0.01124728773523872,-0.017122891979636536,-0.012738898757359618,0.0026071035510127046,6,-0.011025037052601558,-0.011046785181075578,-0.01066543256734114,-0.011434586475112429,-0.011008626409675757,-0.011036093537161293,0.00024379383763239795,Opel,Corsa
6,0.000997304916381836,1.5078914929239175e-07,0.000997447967529297,1.9073486328124998e-07,7,{'alpha': 7},-0.011077748966693573,-0.00992845707192928,-0.014610602741650427,-0.011635476705969514,-0.018190414042508207,-0.013088539905750202,0.0029828372856563153,7,-0.01135746748605833,-0.011401375644786894,-0.010989029273115052,-0.011758520879506566,-0.011391472680866627,-0.011379573192866695,0.00024381612311845914,Opel,Corsa
7,0.0011968135833740235,0.00039889816388262293,0.0007979869842529297,0.00039899350281149214,8,{'alpha': 8},-0.011055725811287383,-0.00990988494047231,-0.014981924554273277,-0.012027573827546502,-0.019285911345373268,-0.013452204095790548,0.0033672804909113657,8,-0.011704842541724905,-0.011769293583818787,-0.011322505290617511,-0.012094463218423205,-0.011775710622886138,-0.01173336305149411,0.00024620932949918266,Opel,Corsa
8,0.0013962745666503905,0.0004886360388238481,0.0007979869842529297,0.00039899350281149214,9,{'alpha': 9},-0.011051376958566162,-0.00991370259122826,-0.015352737107029543,-0.012424009642858946,-0.02040097198127635,-0.013828559656191852,0.0037558309596573964,9,-0.0120665776203448,-0.01214938482045161,-0.01166606394229435,-0.012441543321102977,-0.012162650463676518,-0.01209724403357405,0.00024995814136139074,Opel,Corsa
0,0.0007988452911376953,0.0009783837910781936,0.001196908950805664,0.0009772759747215583,1,{'alpha': 1},-0.0059255116511238,-0.007463205026036544,-0.002614242417392749,-0.004335993534294906,-0.00692044582478755,-0.00545187969072711,0.0017733488397723416,1,-0.003760817394680639,-0.003646226676034877,-0.0045602152942720835,-0.004596528427181356,-0.003595710613187769,-0.004031899681071345,0.00044953602388134607,Opel,Crossland X
1,0.001197052001953125,0.0009773890877894907,0.0007977008819580079,0.0009769821848427485,2,{'alpha': 2},-0.006367768220101852,-0.007674830965954657,-0.0030380048046238957,-0.005912222747105864,-0.007828828524128154,-0.006164331052382885,0.0017280638245488903,2,-0.004456074386168529,-0.004225608507417558,-0.005253525421373638,-0.005261165844067505,-0.0043845366942114414,-0.004716182170647734,0.00044811879541862534,Opel,Crossland X
2,0.0011980533599853516,0.00097820934281876,0.001187276840209961,0.000969447661987465,3,{'alpha': 3},-0.006957902330127755,-0.008141538321542385,-0.003610373953454365,-0.007511300480646928,-0.008924544438141137,-0.007029131904782514,0.001830601148545884,3,-0.005250980110736965,-0.004974482186181119,-0.006033921265455101,-0.006010607306087691,-0.00517745742295956,-0.005489489658284087,0.0004443991436116451,Opel,Crossland X
3,0.0011968612670898438,0.0009772331595686169,0.0007991313934326172,0.0009787338906301413,4,{'alpha': 4},-0.007651413917722056,-0.008797134107135566,-0.004269454203014878,-0.009109194959457754,-0.01001210373581376,-0.007967860184628802,0.0019973791351679715,4,-0.006114436013995822,-0.005820509645027756,-0.006878867634917504,-0.0068196076521213796,-0.005995556005669488,-0.006325795390346389,0.0004379004405523129,Opel,Crossland X
4,0.0008103370666503907,0.0009924563497601393,0.0011961936950683593,0.0009766883531514639,5,{'alpha': 5},-0.008414888961183859,-0.009572229272590983,-0.004983320726669656,-0.010687432204024305,-0.011061322283438322,-0.008943838689581426,0.0021855992399520147,5,-0.0070209118442906004,-0.006720724698231585,-0.007767721808620316,-0.007665728743374134,-0.006838282470996647,-0.007202673913102656,0.000431692603253857,Opel,Crossland X
5,0.0015951633453369141,0.0007975822624251344,0.0007983684539794922,0.000977797811920828,6,{'alpha': 6},-0.009223015495949536,-0.010417891484310814,-0.0057309969981766675,-0.012232582500449202,-0.012069605604731967,-0.009934818416723636,0.002376938098824981,6,-0.007950683387125722,-0.007647961200113952,-0.0086828544289125,-0.008530943322912186,-0.00769818608563626,-0.008102125684940124,0.0004274336882937902,Opel,Crossland X
6,0.0011961936950683593,0.0009766890399131158,0.0007970333099365234,0.0009761626013402213,7,{'alpha': 7},-0.010057031683253184,-0.011301068014471456,-0.00649763425992587,-0.013735652955133232,-0.013039347035033542,-0.010926146789563457,0.0025638482946496555,7,-0.008889094463372466,-0.008584414710033733,-0.009610331186484885,-0.009401742686820485,-0.008566854309020558,-0.009010487471146425,0.00042567071058732694,Opel,Crossland X
7,0.0011991500854492188,0.000979104387036891,0.0007977962493896484,0.0009770968910345391,8,{'alpha': 8},-0.010903160067142655,-0.01219951754272931,-0.007272440229514164,-0.015191076234960067,-0.013973348197099203,-0.01190790845428908,0.002743259114704544,8,-0.009825472232295554,-0.009518187991483565,-0.01053954438291717,-0.010268341771041748,-0.009436781512211162,-0.00991766557798984,0.0004263891368743438,Opel,Crossland X
8,0.0007973670959472656,0.0009765768958125906,0.0011983394622802734,0.0009784464294203832,9,{'alpha': 9},-0.01175133373630348,-0.013098263807273608,-0.008047497483865716,-0.01659577873682523,-0.014873962065958661,-0.012873367166045337,0.002914010417342729,9,-0.010752153318304996,-0.010441270838973405,-0.011462591927706914,-0.01112380528333223,-0.010301822445148092,-0.010816328762693127,0.0004293487099780505,Opel,Crossland X
0,0.0015978813171386719,0.0019569984354253626,0.0007989883422851562,0.0015979766845703124,1,{'alpha': 1},-0.004450760716965672,-0.001625531779444849,-0.003078553105921024,-0.004251824615867058,-0.004025130224755014,-0.0034863600885907237,0.0010426184638096263,1,-0.0021927160338875624,-0.0029937375849349015,-0.002892248670550792,-0.0027783243026743396,-0.002663164622147375,-0.002704038242838994,0.00027856358226858514,Mercedes-benz,GLC Class
1,0.0007989883422851562,0.0015979766845703124,0.000798797607421875,0.00159759521484375,2,{'alpha': 2},-0.004818813059972048,-0.002344462045211341,-0.004163195541298398,-0.00608810297064485,-0.00485257077350549,-0.0044534288781264255,0.0012244962828757736,2,-0.00320205204186557,-0.0038426143863717534,-0.0035919737067128857,-0.0034660564863008008,-0.003302312951700964,-0.003481001914590395,0.00022496420211809564,Mercedes-benz,GLC Class
2,0.0007946491241455078,0.0015892982482910156,0.0008031845092773438,0.0016063690185546876,3,{'alpha': 3},-0.005654094864165778,-0.0032818214334509144,-0.00516392785131439,-0.007730459458180252,-0.005451585385815022,-0.005456377798585271,0.0014159650247483713,3,-0.004213707209547906,-0.004716693188006122,-0.0043521400289709975,-0.004192884328197116,-0.004024509683808535,-0.004299986887706135,0.00023288062256753188,Mercedes-benz,GLC Class
3,0.0015975475311279298,0.0019565882167314023,0.0007987499237060546,0.001597499847412109,4,{'alpha': 4},-0.006664388529246996,-0.0042825876216790165,-0.006104218494821019,-0.009202887898217344,-0.005975756156168252,-0.006445967740026526,0.0015916294428325272,4,-0.005195448134822476,-0.005574992937435342,-0.005130796889771456,-0.004922100214256977,-0.004790345138630192,-0.005122736662983289,0.00026856164029638693,Mercedes-benz,GLC Class
4,0.0015993118286132812,0.001958749540255285,0.000800180435180664,0.001600360870361328,5,{'alpha': 5},-0.00774801068537409,-0.005288931608547208,-0.006993342004902402,-0.010534746269343835,-0.006481222905986582,-0.007409250694830822,0.001755759070053576,5,-0.006140093759945536,-0.006406963954538666,-0.005908765170325829,-0.005642358667290322,-0.00557690922131137,-0.005935018154682345,0.00030963515458822476,Mercedes-benz,GLC Class
5,0.0007986068725585937,0.0015972137451171875,0.0015980720520019532,0.0019572305498036253,6,{'alpha': 6},-0.008857525530472544,-0.00627647042003193,-0.007836405500470819,-0.011750519890127011,-0.006987868153729309,-0.008341757898966322,0.001909946879976383,6,-0.0070456584170619715,-0.00721006187518523,-0.006676638333178394,-0.00634907858090161,-0.006369094011432452,-0.006730106243551931,0.0003487983117584711,Mercedes-benz,GLC Class
6,0.0007988929748535157,0.0015977859497070313,0.0007989406585693359,0.0015978813171386719,7,{'alpha': 7},-0.009966883127532534,-0.00723418798104229,-0.008636980688425397,-0.012868992108770766,-0.007500959670340523,-0.009241600715222302,0.002054707054977673,7,-0.00791176169253239,-0.00798392685348958,-0.007429261528681712,-0.007039778838835408,-0.007156485632414498,-0.007504242909190717,0.00038430520392502144,Mercedes-benz,GLC Class
7,0.0015978813171386719,0.001956996954067275,0.0007994651794433593,0.0015989303588867187,8,{'alpha': 8},-0.01106060633664846,-0.008157131995842318,-0.009397954042265092,-0.013904467073928298,-0.00801992860697073,-0.01010801761113098,0.0021904663635227447,8,-0.008738802614846594,-0.008728869046978425,-0.008163603592309054,-0.00771286640846294,-0.007931881099375029,-0.008255204552394408,0.0004160011040756991,Mercedes-benz,GLC Class
8,0.0007977485656738281,0.0015954971313476562,0.0008000373840332031,0.0016000747680664062,9,{'alpha': 9},-0.012129242615053461,-0.009043376081466827,-0.010121846925671118,-0.014868005144520755,-0.00854210795080817,-0.010940915743504066,0.0023177558646619023,9,-0.009527675641792785,-0.009445460519126665,-0.008877849840614077,-0.008367281894396552,-0.008690374871360828,-0.008981728553458182,0.00044414592447294124,Mercedes-benz,GLC Class
0,0.0011969566345214843,0.00039894581909694896,0.0009973526000976562,9.536743164062499e-08,1,{'alpha': 1},-0.027733159667384773,-0.008917682019781036,-0.008236351047162457,-0.03144556024417843,-0.06305354374013217,-0.027877259343727773,0.019976763356391876,1,-0.017102558172410437,-0.02175973488600585,-0.021559008301465336,-0.016707959371105738,-0.013573581697565099,-0.018140568485710492,0.0031231810327236992,Mercedes-benz,A Class
1,0.0013962745666503905,0.0004886360853561638,0.0005984783172607421,0.0004886555075578522,2,{'alpha': 2},-0.028125477491503167,-0.008419301196043843,-0.006966451657701152,-0.029482761413115174,-0.06782206826183526,-0.028163212004039716,0.021971309371028043,2,-0.01749866534391342,-0.02212523658623619,-0.02199802590246767,-0.017124847123521678,-0.013814609800229973,-0.018512276951273787,0.003169364912853203,Mercedes-benz,A Class
2,0.0011968135833740235,0.0003988981353824061,0.0009972572326660157,1.784161275279017e-07,3,{'alpha': 3},-0.02871414069946515,-0.008067264595223595,-0.006041834663004547,-0.027933403077541302,-0.07201787190951174,-0.02855490298894927,0.02373193147882754,3,-0.018022798144739734,-0.022605231796193857,-0.02254954588307256,-0.017673294403908746,-0.014096100435141411,-0.018989394132611262,0.0032360380716256547,Mercedes-benz,A Class
