,dealer,county,make,model,vehicle_year,mileage,last_updated,price,transmission,engine,body,fuel,doors,mpg,owners,color,tax,nct_month,nct_year,download_date,page_id,log_price,age,owners_is_null,nct_is_null,mileage_is_0,make_and_model
3724,Azkar,Waterford,Seat,Leon,2019.0,40233.0, 11 hours ago,20995.0,Manual,1.0,Hatchback,Petrol,5.0,48.0,1.0,Blue,200.0,July,2023.0,2022-09-01,3107094,9.952039593118293,3.0,False,False,False,Seat_Leon
3760,Quantum autos,Wexford,Seat,Leon,2019.0,40233.0, 22 hours ago,20995.0,Manual,1.0,Hatchback,Petrol,5.0,48.0,1.0,Blue,190.0,July,2023.0,2022-09-01,3107277,9.952039593118293,3.0,False,False,False,Seat_Leon
4373,George corbett motors,Waterford,Seat,Leon,2021.0,8655.0, 1 month ago,39995.0,Automatic,1.4,Estate,Petrol hybrid,5.0,,1.0,Blue,,February,2025.0,2022-09-01,3110753,10.596509725282923,1.0,False,False,False,Seat_Leon
4374,George corbett motors,Waterford,Seat,Leon,2021.0,6612.0, 1 month ago,29995.0,Manual,1.0,Estate,Petrol,5.0,,1.0,Red,,July,2025.0,2022-09-01,3110756,10.308785980087194,1.0,False,False,False,Seat_Leon
4645,Oliver geoghegan car sales,Galway,Seat,Leon,2018.0,118769.0, 4 hours ago,18950.0,Manual,1.6,Hatchback,Diesel,5.0,,1.0,Blue,190.0,September,2024.0,2022-09-01,3133203,9.849559210510572,4.0,False,False,False,Seat_Leon
5126,Private,Cavan,Seat,Leon,2014.0,267987.0, 28 days ago,9000.0,Manual,1.6,Hatchback,Diesel,5.0,,1.0,Red,,October,2023.0,2022-09-01,3134687,9.104979856318357,8.0,False,False,False,Seat_Leon
5162,Bradys (dublin) limited,Dublin,Seat,Leon,2020.0,13843.0, 1 month ago,29950.0,Manual,2.0,Estate,Diesel,5.0,64.0,1.0,Grey,,November,2024.0,2022-09-01,3134845,10.307284603543595,2.0,False,False,False,Seat_Leon
5413,Dmg motors ltd,Donegal,Seat,Leon,2019.0,109998.0, 5 days ago,25900.0,Automatic,2.0,Estate,Diesel,5.0,53.0,1.0,White,,March,2023.0,2022-09-01,3135635,10.16199824768763,3.0,False,False,False,Seat_Leon
5414,Mccoy motors ltd,Dublin,Seat,Leon,2020.0,55998.0, 18 days ago,25950.0,Automatic,2.0,Estate,Diesel,5.0,,1.0,Blue,,April,2024.0,2022-09-01,3135639,10.163926888594034,2.0,False,False,False,Seat_Leon
5676,Colton motors mullingar,Westmeath,Seat,Leon,2018.0,101998.0, 1 month ago,16995.0,Manual,1.6,Hatchback,Diesel,5.0,55.0,2.0,Blue,,March,2024.0,2022-09-01,3136340,9.740674462130217,4.0,False,False,False,Seat_Leon
5829,Kearys carstore dublin,Dublin,Seat,Leon,2017.0,132463.0, 30 days ago,16490.0,Manual,1.6,Hatchback,Diesel,5.0,57.0,2.0,Red,,January,2023.0,2022-09-01,3136798,9.710509415553645,5.0,False,False,False,Seat_Leon
