dealer,county,make,model,vehicle_year,mileage,last_updated,price,transmission,engine,body,fuel,doors,mpg,owners,color,tax,nct_month,nct_year,download_date,page_id
Martin murphy car sales,Tipperary,Audi,A6,2014.0,208000.0, 20 hours ago,15950.0,Manual,2.0,Saloon,Diesel,4.0,48.0,2.0,Black,270.0,May,2024.0,2022-08-31,3086958
Castle motors (hybrid specialists),Dublin,Toyota,Vitz,2016.0,110000.0, 21 days ago,10900.0,Automatic,1.0,Hatchback,Petrol,5.0,55.0,1.0,White,200.0,May,2024.0,2022-08-31,3086960
Automatic motor car centre,Dublin,Volkswagen,Polo,2015.0,58618.0, 20 days ago,13750.0,Automatic,1.2,Hatchback,Petrol,4.0,56.0,NaN,Red,NaN,May,2024.0,2022-08-31,3086966
Dunboyne auto link,Meath,Audi,A6,2014.0,203000.0, 2 months ago,16999.0,Automatic,2.0,Saloon,Diesel,4.0,53.0,1.0,Silver,200.0,December,2022.0,2022-08-31,3086971
Automatic motor car centre,Dublin,Volkswagen,Golf,2013.0,71344.0, 20 days ago,22450.0,Automatic,2.0,Hatchback,Petrol,5.0,47.0,NaN,Black,NaN,December,2023.0,2022-08-31,3086972
All cars lucan,Dublin,Peugeot,208,2017.0,48280.0, in 3 minutes,11495.0,Manual,1.2,Hatchback,Petrol,4.0,50.0,2.0,Red,190.0,July,2023.0,2022-08-31,3086982
Evra motors,Dublin,Volkswagen,Golf,2009.0,205437.0, 27 days ago,6950.0,Manual,2.0,Hatchback,Diesel,5.0,48.0,6.0,Silver,200.0,February,2023.0,2022-08-31,3086994
Ivers and cullinan,Tipperary,Toyota,Corolla,2019.0,28145.0, 2 months ago,22980.0,Manual,1.2,Hatchback,Petrol,5.0,44.0,2.0,Blue,NaN,May,2023.0,2022-08-31,3086996
John kennedy motors,Tipperary,Volkswagen,Tiguan,2017.0,62688.0, 3 months ago,25950.0,Manual,2.0,Estate,Diesel,4.0,50.0,2.0,Grey,270.0,January,2023.0,2022-08-31,3087005
Charton motor company,Dublin,Nissan,Qashqai,2013.0,182306.0, 9 hours ago,8996.0,Manual,1.5,Mpv,Diesel,4.0,45.0,4.0,Red,270.0,March,2023.0,2022-08-31,3087009
Liam cleary autoworld ltd,Clare,Kia,Sorento,2016.0,152400.0, 7 days ago,28900.0,Manual,2.2,Estate,Diesel,5.0,41.0,1.0,White,400.0,March,2022.0,2022-08-31,3087017
Glassen motor company,Dublin,Audi,A6,2013.0,260000.0, 22 hours ago,13500.0,Cvt,2.0,Saloon,Diesel,4.0,47.0,2.0,Black,280.0,August,2023.0,2022-08-31,3087023
Liam cleary autoworld ltd,Clare,Kia,Sportage,2018.0,141000.0, 24 days ago,27950.0,Manual,1.7,Mpv,Diesel,5.0,51.0,1.0,Grey,200.0,March,2022.0,2022-08-31,3087026
Flanagan motors,Mayo,Ford,Focus,2018.0,63202.0, 20 hours ago,NaN,Manual,1.5,Hatchback,Diesel,4.0,62.0,2.0,Red,180.0,July,2022.0,2022-08-31,3087030
O&#039;neill&#039;s car sales,Meath,Volkswagen,Polo,2017.0,82000.0, 8 days ago,14499.0,Manual,1.0,Hatchback,Petrol,5.0,60.0,1.0,Grey,190.0,April,2023.0,2022-08-31,3087032
Flanagan motors,Mayo,Toyota,Auris,2013.0,184272.0, 20 hours ago,10500.0,Manual,1.4,Estate,Diesel,4.0,56.0,3.0,Bronze,190.0,November,2023.0,2022-08-31,3087064
Flanagan motors,Mayo,Kia,Picanto,2017.0,149261.0, 20 hours ago,9500.0,Manual,1.0,Hatchback,Petrol,5.0,53.0,2.0,Grey,190.0,July,2024.0,2022-08-31,3087066
Midleton m motors,Cork,Bmw,5 Series,2017.0,141621.0, 16 days ago,34950.0,Automatic,2.0,Saloon,Petrol plug-in hybrid,4.0,NaN,1.0,Black,170.0,September,2023.0,2022-08-31,3087067
Newgrange motor centre,Louth,Audi,e-tron,2019.0,27999.0, 3 months ago,69990.0,Automatic,NaN,Suv,None,5.0,NaN,NaN,Black,NaN,March,2023.0,2022-08-31,3087075
Midleton motorstore,Cork,Volkswagen,Caddy,2011.0,230000.0, 1 month ago,6900.0,Manual,1.6,Van,Diesel,5.0,42.0,4.0,Red,400.0,None,NaN,2022-08-31,3087077
Martin reilly motors,Sligo,Kia,Sportage,2019.0,165467.0, 1 day ago,23945.0,Manual,1.6,Mpv,Diesel,5.0,58.0,1.0,Grey,270.0,January,2023.0,2022-08-31,3087078
M6 motors,Galway,Audi,A4,2018.0,140012.0, 2 hours ago,23950.0,Manual,2.0,Saloon,Diesel,4.0,60.0,1.0,White,180.0,None,NaN,2022-08-31,3087084
N2 car sales,Dublin,Hyundai,i30,2016.0,44586.0, 4 days ago,13950.0,Manual,1.6,Hatchback,Diesel,5.0,59.0,2.0,Silver,180.0,November,2022.0,2022-08-31,3087085
Koping,Dublin,Citroen,Relay,2022.0,0.0, 16 days ago,28979.0,Manual,2.2,Van,Diesel,5.0,NaN,NaN,White,NaN,None,NaN,2022-08-31,3087094
Automatic motor car centre,Dublin,Mazda,Demio,2018.0,123000.0, 13 days ago,15700.0,Automatic,1.3,Hatchback,Petrol,5.0,NaN,NaN,Wine,180.0,May,2024.0,2022-08-31,3087096
John duignan motors,Longford,Bmw,5 Series,2010.0,354.0, 2 hours ago,7995.0,Automatic,2.0,Saloon,Diesel,4.0,48.0,6.0,Black,270.0,December,2022.0,2022-08-31,3087099
Azkar,Waterford,Peugeot,2008,2021.0,31977.0, 16 hours ago,31995.0,Manual,1.5,Suv,Diesel,5.0,52.0,1.0,Black,180.0,January,2025.0,2022-08-31,3087100
Keith lenihan motors,Dublin,Kia,Rio,2016.0,127850.0, 2 days ago,10995.0,Manual,1.2,Hatchback,Petrol,5.0,47.0,2.0,Black,200.0,January,2024.0,2022-08-31,3087123
Windsor airside nissan &amp; peugeot,Dublin,Hyundai,i20,2016.0,103841.0, 23 hours ago,12995.0,Manual,1.2,Hatchback,Petrol,5.0,45.0,2.0,Silver,NaN,July,2023.0,2022-08-31,3087126
Windsor airside nissan &amp; peugeot,Dublin,Nissan,Qashqai,2019.0,93708.0, 25 days ago,24495.0,Manual,1.5,Mpv,Diesel,4.0,62.0,1.0,Grey,120.0,May,2023.0,2022-08-31,3087129
Windsor deansgrange nissan &amp; opel,Dublin,Toyota,Prius,2016.0,132231.0, 8 days ago,16995.0,Automatic,1.8,Hatchback,Petrol hybrid,5.0,78.0,1.0,White,NaN,None,NaN,2022-08-31,3087135
Liam bowhan motors,Louth,Volkswagen,Passat,2016.0,154496.0, 10 hours ago,18250.0,Manual,2.0,Saloon,Diesel,4.0,59.0,1.0,Grey,190.0,October,2022.0,2022-08-31,3087137
Mooney&#039;s,Dublin,Volkswagen,Polo,2016.0,69299.0, 3 months ago,15995.0,Manual,1.0,Hatchback,Petrol,5.0,49.0,3.0,Black,190.0,May,2022.0,2022-08-31,3087145
Mooney&#039;s,Dublin,Hyundai,Santa Fe,2015.0,147193.0, 3 months ago,24250.0,Manual,2.2,Suv,Diesel,4.0,40.0,1.0,Silver,NaN,January,2022.0,2022-08-31,3087146
Ryan motor power,Tipperary,Ford,Fiesta,2017.0,44998.0, 4 days ago,13795.0,Manual,1.0,Hatchback,Petrol,4.0,55.0,2.0,Red,170.0,January,2023.0,2022-08-31,3087157
Pilsen auto ltd,Dublin,Skoda,Fabia,2021.0,18499.0, 2 months ago,21950.0,Manual,1.0,Estate,Petrol,5.0,52.0,1.0,Silver,NaN,October,2025.0,2022-08-31,3087158
Audi naas,Kildare,Audi,Q2,2019.0,66800.0, 3 months ago,30950.0,Manual,1.6,Suv,Diesel,5.0,49.0,2.0,Black,NaN,January,2023.0,2022-08-31,3087159
Audi naas,Kildare,Audi,A1,2018.0,109098.0, 3 months ago,20950.0,Manual,1.0,Hatchback,Petrol,2.0,56.0,2.0,White,NaN,January,2024.0,2022-08-31,3087160
Audi naas,Kildare,Audi,A6,2019.0,29613.0, 2 months ago,44950.0,Automatic,3.0,Saloon,Diesel,4.0,42.0,2.0,Blue,NaN,October,2023.0,2022-08-31,3087161
Audi naas,Kildare,Audi,A3,2018.0,94828.0, 18 days ago,26950.0,Manual,1.6,Saloon,Diesel,4.0,62.0,1.0,Black,190.0,April,2022.0,2022-08-31,3087162
Msl park motors skoda,Dublin,Skoda,Superb,2021.0,5499.0, 26 days ago,35950.0,Manual,2.0,Saloon,Diesel,4.0,50.0,2.0,Black,200.0,May,2025.0,2022-08-31,3087166
Conlans naas,Kildare,Volkswagen,Polo,2020.0,18805.0, 14 days ago,22950.0,Manual,1.0,Hatchback,Petrol,5.0,50.0,1.0,Blue,190.0,January,2024.0,2022-08-31,3087187
Bradys (dublin) limited,Dublin,Seat,Arona,2022.0,4.0, 3 months ago,29870.0,Manual,1.0,Suv,Petrol,5.0,NaN,NaN,Red,NaN,None,NaN,2022-08-31,3087195
Kearys hyundai cork,Cork,Hyundai,i30,2021.0,3015.0, 1 month ago,24897.0,Manual,1.0,Hatchback,Petrol,5.0,NaN,2.0,Red,NaN,July,2025.0,2022-08-31,3087207
Kearys hyundai cork,Cork,Hyundai,i30,2022.0,49.0, 28 days ago,27495.0,Manual,1.0,Hatchback,Petrol,5.0,42.0,1.0,Black,200.0,None,NaN,2022-08-31,3087208
Kearys hyundai cork,Cork,Hyundai,i30,2022.0,49.0, 28 days ago,27495.0,Manual,1.0,Hatchback,Petrol,5.0,42.0,1.0,Black,200.0,None,NaN,2022-08-31,3087210
Kearys hyundai mallow,Cork,Hyundai,Santa Fe,2022.0,0.0, 2 months ago,72095.0,Automatic,2.2,Suv,Diesel,NaN,NaN,NaN,White,NaN,None,NaN,2022-08-31,3087215
O&#039;briens kilkenny,Kilkenny,Renault,Zoe,2022.0,6.0, 3 months ago,35495.0,Automatic,NaN,Hatchback,Electric,NaN,NaN,NaN,Grey,NaN,None,NaN,2022-08-31,3087222
Auto boland volvo,Waterford,Audi,Q7,2019.0,58005.0, 4 days ago,74950.0,Automatic,3.0,Suv,Diesel,4.0,35.0,1.0,Grey,NaN,February,2023.0,2022-08-31,3087227
Gilmores mercedes-benz,Cavan,Mercedes-benz,E Class,2020.0,66998.0, 21 days ago,49895.0,Automatic,1.6,Saloon,Diesel,4.0,56.0,1.0,Grey,190.0,February,2024.0,2022-08-31,3087229
Divanes volkswagen,Kerry,Volkswagen,Crafter,2019.0,95198.0, 3 months ago,25950.0,Manual,2.0,Van,Diesel,5.0,33.0,2.0,White,NaN,March,2023.0,2022-08-31,3087235
Divanes volkswagen,Kerry,Volkswagen,Crafter,2019.0,97698.0, 3 months ago,25950.0,Manual,2.0,Van,Diesel,5.0,33.0,2.0,White,NaN,March,2023.0,2022-08-31,3087236
Ramillies car sales,Dublin,Volvo,V60,2019.0,199844.0, 2 hours ago,24950.0,Manual,2.0,Estate,Diesel,5.0,53.0,1.0,Black,200.0,None,NaN,2022-08-31,3087240
Hinchy&#039;s ennis road,Limerick,Kia,Picanto,2022.0,0.0, 1 month ago,NaN,Manual,1.0,Hatchback,Petrol,NaN,NaN,NaN,Silver,NaN,None,NaN,2022-08-31,3087254
Johnson &amp; perrott  honda peugeot seat,Cork,Volkswagen,Tiguan,2017.0,111326.0, 6 hours ago,31900.0,Manual,2.0,Suv,Diesel,5.0,42.0,2.0,Grey,270.0,March,2023.0,2022-08-31,3087256
Trinity motors,Wexford,Mazda,Mazda3,2020.0,41525.0, 2 months ago,28950.0,Manual,1.8,Saloon,Diesel,4.0,47.0,2.0,Red,NaN,January,2024.0,2022-08-31,3087259
O&#039;regan motors,Dublin,Land,ROVER Discovery,2015.0,254000.0, 1 day ago,28450.0,Automatic,3.0,Van,Diesel,4.0,28.0,2.0,Black,333.0,April,2023.0,2022-08-31,3087278
Michael barrable motors,Dublin,Volkswagen,Polo,2017.0,104464.0, 22 hours ago,15950.0,Manual,1.0,Hatchback,Petrol,5.0,49.0,2.0,White,190.0,May,2023.0,2022-08-31,3087282
Navan ford centre,Meath,Renault,Trafic,2020.0,50000.0, 2 days ago,22000.0,Manual,2.0,Van,Diesel,3.0,43.0,NaN,White,333.0,None,NaN,2022-08-31,3087284
Hugo loonam motors,Offaly,Citroen,Grand C4 Picasso,2016.0,179947.0, 5 hours ago,14995.0,Automatic,1.6,Mpv,Diesel,4.0,59.0,3.0,Blue,190.0,February,2024.0,2022-08-31,3087286
Navan ford centre,Meath,Ford,Transit Custom,2019.0,100000.0, 5 days ago,21450.0,Manual,2.0,Van,Diesel,3.0,NaN,1.0,White,333.0,May,2023.0,2022-08-31,3087288
Mallow road motors,Cork,Kia,Sportage,2019.0,65000.0, 10 hours ago,29450.0,Manual,1.6,Mpv,Diesel,5.0,49.0,1.0,White,270.0,May,2023.0,2022-08-31,3087289
Smc car sales,Kildare,Mercedes-benz,GLC Class,2016.0,118000.0, 10 hours ago,33950.0,Automatic,2.1,Estate,Diesel,5.0,47.0,2.0,Brown,270.0,June,2024.0,2022-08-31,3087297
Blackrock motor company,Cork,Audi,A6,2015.0,133446.0, 18 hours ago,19999.0,Automatic,2.0,Saloon,Diesel,4.0,56.0,1.0,Silver,190.0,November,2023.0,2022-08-31,3087298
Agnelli motor park,Dublin,Fiat,Panda,2022.0,0.0, 17 days ago,18950.0,Manual,1.0,Hatchback,Hybrid,5.0,NaN,NaN,Black,NaN,None,NaN,2022-08-31,3093487
Kelly&#039;s garage ltd,Dublin,Citroen,DS4,2015.0,96738.0, 1 day ago,13750.0,Manual,1.6,Hatchback,Diesel,4.0,52.0,3.0,None,200.0,November,2023.0,2022-08-31,3087305
Eco motors,Dublin,Opel,Corsa,2011.0,133647.0, 1 month ago,5750.0,Manual,1.2,Hatchback,Petrol,5.0,44.0,4.0,Black,270.0,January,2023.0,2022-08-31,3087323
Grange road motors,Dublin,Toyota,Prius,2014.0,101000.0, 12 hours ago,14950.0,Automatic,1.8,Mpv,Petrol hybrid,5.0,NaN,1.0,White,170.0,September,2024.0,2022-08-31,3087325
Automatic motor car centre,Dublin,Audi,A5 Sportback,2014.0,73000.0, 11 days ago,19950.0,Automatic,2.0,Van,Petrol,5.0,28.0,NaN,Red,NaN,May,2024.0,2022-08-31,3087327
Cuffe car sales,Mayo,Volkswagen,Transporter,2018.0,135999.0, 25 days ago,NaN,Manual,2.0,Van,Diesel,5.0,39.0,1.0,Grey,333.0,None,NaN,2022-08-31,3087341
Paul mcgovern car sales,Dublin,Audi,A3,2012.0,176000.0, 2 days ago,10995.0,Manual,1.6,Hatchback,Diesel,2.0,62.0,3.0,Black,190.0,January,2023.0,2022-08-31,3087342
Airside motor centre,Dublin,Honda,Jade,2015.0,103886.0, 2 months ago,17950.0,Automatic,1.5,Estate,Petrol hybrid,5.0,NaN,1.0,Black,NaN,May,2024.0,2022-08-31,3087347
Fort motors,Dublin,Hyundai,i20,2019.0,43000.0, 3 months ago,16999.0,Manual,1.2,Hatchback,Petrol,5.0,40.0,2.0,Black,NaN,January,2023.0,2022-08-31,3087349
Motorview kia,Cork,Kia,Sorento,2022.0,16.0, 17 days ago,52531.0,Automatic,2.2,Van,Diesel,5.0,NaN,NaN,Grey,NaN,None,NaN,2022-08-31,3087350
Toyota sandyford,Dublin,Kia,Picanto,2019.0,8000.0, 1 month ago,14945.0,Manual,1.0,Hatchback,Petrol,5.0,48.0,1.0,Red,NaN,February,2023.0,2022-08-31,3087357
Hugh boggan motors wexford,Wexford,Nissan,Qashqai,2020.0,37000.0, 1 month ago,29950.0,Manual,1.5,Mpv,Diesel,4.0,62.0,2.0,Blue,120.0,January,2024.0,2022-08-31,3087369
Hugh boggan motors wexford,Wexford,Peugeot,2008,2019.0,56000.0, 6 days ago,18950.0,Manual,1.2,Estate,Petrol,4.0,48.0,1.0,White,NaN,July,2023.0,2022-08-31,3087371
E &amp; d motors,Dublin,Volkswagen,Passat CC,2009.0,203000.0, 3 months ago,7950.0,Automatic,2.0,Coupe,Diesel,4.0,39.0,4.0,Black,600.0,None,NaN,2022-08-31,3087380
Private,Kerry,Ford,Galaxy,2014.0,148059.0, 30 days ago,17000.0,Manual,2.0,Mpv,Diesel,5.0,42.0,3.0,White,NaN,March,2024.0,2022-08-31,3087381
Devine motor works,Longford,Ford,Transit Connect,2015.0,234963.0, 11 days ago,11500.0,Manual,1.6,Van,Diesel,NaN,NaN,1.0,White,NaN,None,NaN,2022-08-31,3087383
Fonthill car sales,Dublin,Mini,Hatch,2012.0,170000.0, 3 months ago,8995.0,Manual,1.6,Hatchback,Petrol,3.0,44.0,2.0,Green,270.0,February,2024.0,2022-08-31,3087386
Private,Roscommon,Ford,Ranger,2018.0,83685.0, 27 days ago,36001.0,Automatic,3.2,Pickup,Diesel,4.0,NaN,1.0,White,NaN,None,NaN,2022-08-31,3087390
Carlow van centre,Carlow,Ford,Transit Connect,2015.0,233354.0, 1 day ago,7950.0,Manual,1.6,Van,Diesel,5.0,NaN,1.0,White,NaN,None,NaN,2022-08-31,3087397
D and l o&#039;connell bros car sales,Limerick,Mercedes-benz,A Class,2017.0,136793.0, 16 hours ago,24900.0,Automatic,2.1,Hatchback,Diesel,5.0,62.0,1.0,White,200.0,May,2024.0,2022-08-31,3087404
T kenny car sales,Wexford,Audi,A4,2013.0,192000.0, 8 hours ago,13950.0,Manual,2.0,Saloon,Diesel,4.0,52.0,2.0,Red,200.0,January,2023.0,2022-08-31,3087408
Castle motors (hybrid specialists),Dublin,Bmw,1 Series,2013.0,86000.0, 27 days ago,13900.0,Automatic,1.6,Hatchback,Petrol,5.0,48.0,1.0,Silver,400.0,June,2024.0,2022-08-31,3087413
Castle motors (hybrid specialists),Dublin,Volkswagen,up!,2013.0,83000.0, 27 days ago,7950.0,Automatic,0.0,Hatchback,Petrol,5.0,50.0,1.0,Black,180.0,May,2024.0,2022-08-31,3087415
Castle motors (hybrid specialists),Dublin,Volkswagen,up!,2014.0,83000.0, 20 days ago,8950.0,Automatic,1.0,Hatchback,Petrol,5.0,NaN,NaN,Blue,180.0,May,2024.0,2022-08-31,3087416
Motorland,Dublin,Bmw,5 Series,2018.0,62764.0, 1 month ago,34900.0,Automatic,2.0,Saloon,Hybrid,4.0,NaN,1.0,Black,170.0,None,NaN,2022-08-31,3087417
Private,Donegal,Jeep,Wrangler,2013.0,74834.0, 23 days ago,45000.0,Automatic,2.8,Convertible,Diesel,5.0,NaN,2.0,Black,NaN,None,NaN,2022-08-31,3087422
Windsor motormall galway,Galway,Renault,Captur,2018.0,95945.0, 3 months ago,17995.0,Manual,0.0,Hatchback,Petrol,4.0,46.0,2.0,Orange,200.0,January,2022.0,2022-08-31,3087423
Audi waterford,Waterford,Audi,A6,2019.0,89448.0, 6 days ago,48950.0,Automatic,2.0,Saloon,Diesel,4.0,53.0,1.0,Grey,200.0,January,2023.0,2022-08-31,3087433
Bill sheehan &amp; sons,Dublin,Opel,Mokka,2022.0,0.0, 2 months ago,32545.0,Manual,1.2,Suv,Petrol,5.0,NaN,NaN,Grey,NaN,None,NaN,2022-08-31,3087460
Peter hanley motors,Longford,Hyundai,Tucson,2017.0,142220.0, 28 days ago,21750.0,Manual,1.7,Suv,Diesel,5.0,53.0,2.0,White,200.0,July,2023.0,2022-08-31,3087462
John kelly waterford,Waterford,Fiat,500,2015.0,146535.0, 1 month ago,10995.0,Manual,1.2,Hatchback,Petrol,2.0,46.0,3.0,Red,NaN,May,2023.0,2022-08-31,3087464
Bradys (dublin) limited,Dublin,Seat,Ateca,2022.0,99.0, 14 days ago,32000.0,Manual,2.0,Van,Diesel,5.0,NaN,NaN,Blue,NaN,None,NaN,2022-08-31,3087473
Audi centre ltd.,Dublin,Audi,A4,2019.0,21317.0, 4 days ago,32999.0,Manual,2.0,Saloon,Petrol,4.0,41.0,2.0,Black,270.0,March,2023.0,2022-08-31,3087475
Audi centre ltd.,Dublin,Audi,A4,2022.0,14.0, 3 days ago,45500.0,Automatic,2.0,Saloon,Diesel,4.0,48.0,1.0,Silver,200.0,None,NaN,2022-08-31,3087478
Annesley williams ltd,Dublin,Volkswagen,Polo,2015.0,44211.0, 3 months ago,15950.0,Automatic,1.2,Hatchback,Petrol,NaN,50.0,1.0,Blue,190.0,December,2023.0,2022-08-31,3087486
Connollys mercedes-benz sligo,Sligo,Mercedes-benz,CLA Class,2020.0,0.0, 18 days ago,39950.0,Manual,1.3,Saloon,Petrol,4.0,44.0,2.0,Red,270.0,January,2024.0,2022-08-31,3087490
Kearys carstore cork,Cork,Volkswagen,Polo,2013.0,43518.0, 3 months ago,14990.0,Automatic,1.2,Hatchback,Petrol,5.0,44.0,1.0,Blue,200.0,None,NaN,2022-08-31,3087492
Kearys hyundai mallow,Cork,Hyundai,i20,2021.0,15982.0, 24 days ago,20495.0,Manual,1.2,Hatchback,Petrol,5.0,45.0,1.0,White,NaN,January,2025.0,2022-08-31,3087495
Kearys hyundai mallow,Cork,Hyundai,i10,2019.0,33195.0, 19 days ago,13995.0,Manual,1.0,Hatchback,Petrol,4.0,46.0,1.0,Black,NaN,April,2023.0,2022-08-31,3087497
Doyles garage courtown,Wexford,Peugeot,3008,2022.0,0.0, 2 months ago,NaN,Manual,1.5,Suv,Diesel,5.0,NaN,NaN,Red,NaN,None,NaN,2022-08-31,3087516
Motorstore - a johnson &amp; perrott motor dealership,Cork,Seat,Ateca,2017.0,89237.0, 4 days ago,26900.0,Manual,2.0,Suv,Diesel,5.0,46.0,1.0,White,NaN,June,2023.0,2022-08-31,3087530
Newgate motor group,Meath,Renault,Captur,2022.0,0.0, 3 months ago,30990.0,Manual,1.0,Suv,Petrol,4.0,48.0,NaN,Grey,NaN,January,2026.0,2022-08-31,3087538
Lyons of limerick,Limerick,Jaguar,XJ,2015.0,0.0, 2 months ago,NaN,Automatic,3.0,Saloon,Diesel,4.0,NaN,2.0,Grey,NaN,May,2023.0,2022-08-31,3087539
Lyons of limerick,Limerick,Volkswagen,Golf,2019.0,58478.0, 1 month ago,49950.0,Automatic,2.0,Hatchback,Petrol,5.0,NaN,2.0,Blue,570.0,February,2023.0,2022-08-31,3087540
Vss premium cars,Meath,Skoda,Fabia,2015.0,72420.0, 1 hour ago,10995.0,Manual,1.2,Estate,Petrol,4.0,50.0,1.0,White,190.0,June,2023.0,2022-08-31,3087554
Fk motors,Sligo,Volkswagen,Passat,2018.0,206000.0, 1 month ago,18950.0,Manual,1.6,Saloon,Diesel,4.0,59.0,1.0,Grey,190.0,March,2024.0,2022-08-31,3087557
Martin murphy car sales,Tipperary,Skoda,Octavia,2017.0,171000.0, 9 hours ago,14950.0,Manual,1.6,Estate,Diesel,5.0,62.0,1.0,Brown,180.0,May,2024.0,2022-08-31,3087644
Donegan&#039;s milford,Cork,Ford,Transit Connect,2019.0,95000.0, 5 hours ago,18250.0,Manual,1.5,Van,Diesel,3.0,49.0,2.0,Red,333.0,None,NaN,2022-08-31,3087646
John mccabe nissan drogheda,Louth,Nissan,X-Trail,2018.0,76644.0, 3 months ago,32450.0,Manual,1.6,Estate,Diesel,5.0,48.0,1.0,Silver,280.0,March,2022.0,2022-08-31,3087650
Prestige autos,Dublin,Ford,Fiesta,2015.0,110000.0, 20 hours ago,16950.0,Manual,1.6,Hatchback,Petrol,2.0,40.0,2.0,Black,280.0,July,2023.0,2022-08-31,3087657
Colm dillon cars,Donegal,Toyota,Corolla,2018.0,52517.0, 3 days ago,NaN,Manual,1.3,Saloon,Petrol,4.0,42.0,2.0,Grey,270.0,May,2024.0,2022-08-31,3087659
Condron car sales,Carlow,Ford,Fiesta,2018.0,171618.0, 21 hours ago,14850.0,Manual,1.5,Hatchback,Diesel,5.0,56.0,1.0,Grey,180.0,None,NaN,2022-08-31,3087661
Midland car sales carlow,Carlow,Bmw,7 Series,2018.0,96700.0, 3 hours ago,49800.0,Automatic,3.0,Saloon,Diesel,4.0,43.0,1.0,Black,270.0,April,2022.0,2022-08-31,3087669
Colm dillon cars,Donegal,Peugeot,3008,2022.0,4023.0, 4 days ago,NaN,Manual,1.5,Mpv,Diesel,4.0,47.0,NaN,White,200.0,January,2026.0,2022-08-31,3087675
James motors,Wexford,Hyundai,ix35,2014.0,124000.0, 15 hours ago,12999.0,Manual,1.7,Suv,Diesel,5.0,44.0,2.0,Grey,280.0,March,2024.0,2022-08-31,3087677
Colm dillon cars,Donegal,Opel,Grandland X,2020.0,38000.0, 1 day ago,NaN,Manual,1.5,Mpv,Diesel,4.0,60.0,1.0,Red,190.0,July,2024.0,2022-08-31,3087680
Gowan motors navan road,Dublin,Kia,Sportage,2017.0,52300.0, 3 months ago,21950.0,Manual,1.7,Suv,Diesel,5.0,51.0,NaN,Silver,200.0,February,2023.0,2022-08-31,3087687
Gowan motors navan road,Dublin,Peugeot,5008,2018.0,93000.0, 28 days ago,32950.0,Manual,1.6,Suv,Diesel,4.0,56.0,1.0,Blue,NaN,July,2022.0,2022-08-31,3087689
Green mile motors,Dublin,Mazda,Mazda3,2013.0,169688.0, 20 hours ago,8250.0,Manual,1.6,Saloon,Diesel,4.0,55.0,4.0,Grey,200.0,August,2023.0,2022-08-31,3087691
Bill griffin motors,Dublin,Toyota,Aqua,2016.0,118000.0, 8 hours ago,10950.0,Automatic,1.5,Hatchback,Petrol hybrid,5.0,NaN,2.0,White,170.0,February,2024.0,2022-08-31,3087693
Meehans ltd,Louth,Toyota,Auris,2015.0,120259.0, 3 months ago,13450.0,Manual,1.4,Hatchback,Diesel,4.0,69.0,2.0,Black,190.0,January,2024.0,2022-08-31,3087697
Condron car sales,Carlow,Ford,Fiesta,2018.0,160542.0, 21 hours ago,14850.0,Manual,1.5,Hatchback,Diesel,5.0,56.0,1.0,Grey,180.0,None,NaN,2022-08-31,3087699
Colm dillon cars,Donegal,Suzuki,Baleno,2018.0,80467.0, 4 days ago,NaN,Manual,1.2,Hatchback,Petrol,5.0,56.0,1.0,Red,180.0,July,2024.0,2022-08-31,3087702
Hogan motors galway,Galway,Nissan,Note,2012.0,92689.0, 3 days ago,7950.0,Automatic,1.6,Mpv,Petrol,4.0,35.0,2.0,Black,NaN,November,2022.0,2022-08-31,3087714
Mount merrion cars ltd,Dublin,Audi,A3,2015.0,54157.0, 7 hours ago,NaN,Automatic,1.4,Saloon,Petrol,4.0,55.0,2.0,White,200.0,May,2024.0,2022-08-31,3087718
Bill griffin motors,Dublin,Mercedes-benz,A Class,2019.0,94860.0, 1 day ago,32950.0,Automatic,2.0,Hatchback,Diesel,5.0,47.0,1.0,Black,190.0,March,2023.0,2022-08-31,3087758
Deerpark n11,Dublin,Volkswagen,Touareg,2013.0,136793.0, 1 day ago,24950.0,Automatic,3.0,Suv,Diesel,5.0,34.0,NaN,Silver,790.0,May,2023.0,2022-08-31,3087761
Niall mccarthy car sales ltd,Tipperary,Volvo,S60,2018.0,128000.0, 22 hours ago,21995.0,Manual,2.0,Saloon,Diesel,4.0,59.0,1.0,Blue,190.0,June,2024.0,2022-08-31,3087764
Manor motors - opel,Donegal,Opel,Vivaro,2022.0,0.0, 12 days ago,NaN,Manual,1.5,Van,Diesel,6.0,NaN,NaN,White,NaN,None,NaN,2022-08-31,3087766
Noel whelan car sales,Laois,Nissan,X-Trail,2015.0,112946.0, 1 month ago,16750.0,Manual,1.6,Mpv,Diesel,4.0,48.0,3.0,Silver,270.0,June,2023.0,2022-08-31,3087767
Private,Roscommon,Bmw,3 Series,2013.0,215000.0, 28 days ago,12500.0,Manual,2.0,Saloon,Diesel,4.0,57.0,2.0,Black,190.0,February,2023.0,2022-08-31,3087769
Tullamore nissan,Offaly,Nissan,Juke,2019.0,46500.0, 3 months ago,19995.0,Manual,1.2,Suv,Petrol,4.0,42.0,NaN,Silver,270.0,January,2023.0,2022-08-31,3087868
