,dealer,county,make,model,vehicle_year,mileage,last_updated,price,transmission,engine,body,fuel,doors,mpg,owners,color,tax,nct_month,nct_year,download_date,page_id,log_price,age,owners_is_null,nct_is_null,mileage_is_0
14323,L &amp; m motors enniscorthy,Wexford,Fiat,500,2013.0,99218.0, 2 hours ago,8250.0,Manual,1.2,Hatchback,Petrol,2.0,49.0,3.0,Grey,200.0,May,2023.0,2022-09-07,3164593,9.017968479328726,9.0,False,False,False
14575,Tractamotors blanchardstown,Dublin,Fiat,500,2022.0,0.0, 4 days ago,22599.0,Manual,1.0,Hatchback,Petrol,5.0,,,Black,,September,2026.0,2022-09-07,3165021,10.025660936493804,0.0,True,False,True
14668,Joseph doherty ltd,Donegal,Fiat,500,2022.0,16.0, 7 days ago,23750.0,Manual,1.0,Hatchback,Petrol,3.0,,,Green,190.0,None,,2022-09-07,3165165,10.075337809462788,0.0,True,True,False
14688,Joseph doherty ltd,Donegal,Fiat,500,2022.0,16.0, 7 days ago,22495.0,Manual,1.0,Hatchback,Petrol hybrid,3.0,39.0,,Red,180.0,None,,2022-09-07,3165204,10.021048341275273,0.0,True,True,False
14802,Shane connolly cars,Donegal,Fiat,500,2018.0,54588.0, 12 days ago,13900.0,Manual,1.2,Hatchback,Petrol,3.0,,1.0,Red,,August,2024.0,2022-09-07,3165384,9.539644119118783,4.0,False,False,False
14836,Usedirect ireland,Dublin,Fiat,500,2021.0,16395.0, 12 days ago,19999.0,Manual,1.0,Hatchback,Petrol hybrid,3.0,60.0,2.0,Green,,January,2025.0,2022-09-07,3165440,9.903437551286085,1.0,False,False,False
15252,Tractamotors blanchardstown,Dublin,Fiat,500,2014.0,63000.0, 2 hours ago,9499.0,Manual,1.2,Hatchback,Petrol,2.0,49.0,2.0,Grey,200.0,November,2022.0,2022-09-07,3166171,9.158941808890182,8.0,False,False,False
15507,Dan seaman motors,Cork,Fiat,500,2017.0,66407.0, 7 days ago,12950.0,Manual,1.2,Hatchback,Petrol,3.0,46.0,3.0,Blue,,July,2023.0,2022-09-07,3166635,9.468851067127684,5.0,False,False,False
15794,Premium autos,Waterford,Fiat,500,2010.0,202545.0, 2 hours ago,6700.0,Manual,1.2,Convertible,Petrol,2.0,49.0,4.0,Red,200.0,August,2023.0,2022-09-07,3167097,8.809862805379057,12.0,False,False,False
16261,Ramillies car sales,Dublin,Fiat,500,2013.0,191511.0, 32 minutes ago,6950.0,Manual,1.2,Hatchback,Petrol,3.0,49.0,1.0,White,200.0,October,2023.0,2022-09-07,3167829,8.846496938558838,9.0,False,False,False
16466,Agnelli motor park,Dublin,Fiat,500,2014.0,92998.0, 10 days ago,9450.0,Manual,1.2,Hatchback,Petrol,2.0,46.0,1.0,Blue,,August,2024.0,2022-09-07,3168148,9.153770020487789,8.0,False,False,False
16467,Agnelli motor park,Dublin,Fiat,500,2022.0,0.0, 10 days ago,25095.0,Manual,1.0,Convertible,Petrol hybrid,,,,None,,None,,2022-09-07,3168149,10.130423902089033,0.0,True,True,True
