,id,make,model,true,predict,score,ccp_alpha,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.114478492164658,-0.02699219932009326,0,6,0.7,12,0,9,6,0,600,58,0.009648810966946123
985,3091054,Skoda,Octavia,9.90323752128092,9.982103608721484,-0.02699219932009326,0,6,0.7,12,0,9,6,0,600,58,0.009648810966946123
13867,3163703,Volkswagen,Polo,9.392578591964389,9.394706591239236,-0.02699219932009326,0,6,0.7,12,0,9,6,0,600,58,0.009648810966946123
12631,3161229,Peugeot,5008,10.757796492054402,10.578066234426386,-0.02699219932009326,0,6,0.7,12,0,9,6,0,600,58,0.009648810966946123
15533,3166672,Renault,Clio,9.792555991828847,9.830354512594132,-0.02699219932009326,0,6,0.7,12,0,9,6,0,600,58,0.009648810966946123
925,3090679,Skoda,Superb,10.04107321548869,10.093921432731927,-0.02699219932009326,0,6,0.7,12,0,9,6,0,600,58,0.009648810966946123
1347,3093470,Nissan,Qashqai,9.925738161470948,9.65980041975092,-0.02699219932009326,0,6,0.7,12,0,9,6,0,600,58,0.009648810966946123
9298,3154262,Mazda,Demio,9.099408811268901,8.863872979514749,-0.02699219932009326,0,6,0.7,12,0,9,6,0,600,58,0.009648810966946123
11345,3158790,Audi,A1,9.468851067127684,9.477903749760127,-0.02699219932009326,0,6,0.7,12,0,9,6,0,600,58,0.009648810966946123
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.649166815096805,-0.02699219932009326,0,6,0.7,12,0,9,6,0,600,58,0.009648810966946123
2006,3097851,Dacia,Sandero,8.954802752850968,9.108647647588258,-0.02699219932009326,0,6,0.7,12,0,9,6,0,600,58,0.009648810966946123
14465,3164845,Bmw,X1,10.517320926376348,10.302244897796722,-0.02699219932009326,0,6,0.7,12,0,9,6,0,600,58,0.009648810966946123
3266,3104483,Bmw,5 Series,10.48849257447637,10.49200342375006,-0.02699219932009326,0,6,0.7,12,0,9,6,0,600,58,0.009648810966946123
