make,model,age,mileage,engine,mpg,owners,nct_remaining,tax,All
Opel,Grandland X,3.0,40499.5,1.5,48.0,1.0,0.5833333333333333,200.0,
Opel,Insignia,5.0,124999.0,2.0,51.5,2.0,0.6666666666666667,200.0,
Opel,Mokka,4.0,51549.0,1.6,48.0,1.0,0.8333333333333334,200.0,
Peugeot,2008,4.0,42107.0,1.2,53.0,1.0,1.0,180.0,
Peugeot,208,4.0,42565.0,1.2,52.0,1.0,1.4166666666666665,190.0,
Peugeot,3008,3.0,44998.0,1.5,56.0,1.0,0.9166666666666666,200.0,
Peugeot,308,6.0,101851.0,1.6,60.0,2.0,0.6666666666666667,190.0,
Peugeot,5008,3.5,72728.0,1.5,56.0,1.0,0.5833333333333333,200.0,
Peugeot,Partner,4.0,136793.0,1.6,55.0,1.0,-1.0,333.0,
Renault,Captur,3.0,55976.0,1.5,64.0,2.0,0.8333333333333334,180.0,
Renault,Clio,4.0,56620.5,1.1,45.0,2.0,0.8333333333333334,200.0,
Renault,Kadjar,4.0,66429.0,1.5,60.0,2.0,0.5,190.0,
Renault,Megane,5.0,77500.0,1.5,53.0,2.0,0.8333333333333334,190.0,
Renault,Trafic,4.0,98930.0,1.6,39.0,1.0,-1.0,333.0,
Seat,Arona,2.0,37684.0,1.0,47.0,1.0,0.75,200.0,
Seat,Ateca,3.0,59250.0,1.6,48.0,1.0,0.8333333333333334,270.0,
Seat,Ibiza,5.0,80127.5,1.0,47.0,2.0,0.8333333333333334,200.0,
Seat,Leon,5.0,89930.5,1.6,55.0,2.0,0.8333333333333334,200.0,
Skoda,Fabia,4.0,65090.0,1.0,49.0,2.0,0.8333333333333334,190.0,
Skoda,Karoq,3.0,44287.0,1.6,51.0,1.0,0.875,200.0,
Skoda,Kodiaq,3.0,60998.0,2.0,47.0,1.0,0.75,280.0,
Skoda,Octavia,4.0,98169.0,1.6,57.0,1.0,0.75,190.0,
Skoda,Superb,4.0,119141.5,2.0,55.0,1.0,0.6666666666666667,200.0,
Suzuki,Swift,6.0,79624.0,1.2,47.0,1.0,0.8333333333333334,200.0,
Suzuki,Vitara,2.0,26518.0,1.5,44.0,1.0,0.5833333333333333,270.0,
Toyota,Aqua,5.0,114000.0,1.5,53.0,1.0,1.3333333333333335,170.0,
Toyota,Auris,7.0,121604.0,1.4,57.0,2.0,0.6666666666666667,190.0,
Toyota,Avensis,7.0,158000.0,2.0,51.0,2.0,0.41666666666666663,200.0,
Toyota,C-HR,3.0,42236.5,1.8,62.0,1.0,0.8333333333333334,180.0,
Toyota,Corolla,5.0,78935.5,1.5,56.5,1.0,0.75,180.0,
Toyota,Hilux,5.0,150000.0,2.5,30.0,1.0,-1.0,333.0,
Toyota,Landcruiser,4.0,118538.5,2.8,31.0,1.0,-1.0,333.0,
Toyota,Prius,5.0,115960.0,1.8,59.0,1.0,0.41666666666666663,170.0,
Toyota,Rav4,5.0,83149.0,2.0,50.0,1.0,0.625,270.0,
Toyota,Vitz,6.0,79592.0,1.0,50.5,1.0,-1.0,190.0,
Toyota,Yaris,5.0,53300.0,1.0,50.0,1.0,0.8333333333333334,180.0,
Volkswagen,Caddy,5.0,137348.0,2.0,51.0,1.0,-1.0,333.0,
Volkswagen,Golf,6.0,93000.0,1.6,55.0,1.0,0.75,200.0,
Volkswagen,Passat,5.0,129299.0,1.6,57.0,1.0,0.6666666666666667,190.0,
Volkswagen,Polo,6.5,65000.0,1.2,50.0,1.0,0.75,190.0,
Volkswagen,T-Roc,1.0,21999.0,1.5,44.0,1.0,0.8333333333333334,200.0,
Volkswagen,Tiguan,3.0,70817.0,2.0,49.0,1.0,0.8333333333333334,270.0,
Volkswagen,Touareg,5.0,118398.5,3.0,36.0,2.0,-0.125,333.0,
Volkswagen,Touran,8.0,98385.0,1.4,51.0,1.0,0.9166666666666666,390.0,
Volkswagen,Transporter,3.0,89929.5,2.0,39.0,1.0,-1.0,333.0,
Volkswagen,up!,9.0,82490.0,1.0,50.0,1.0,1.3333333333333335,180.0,
Volvo,XC60,4.5,98280.0,2.0,46.0,1.0,0.625,270.0,
Volvo,XC90,4.0,107777.0,2.0,40.0,1.0,0.5,333.0,
Audi,,5.0,102674.0,2.0,53.0,1.0,0.75,200.0,
Bmw,,5.0,100086.0,2.0,50.0,2.0,0.6666666666666667,200.0,
Citroen,,6.0,147566.0,1.6,55.0,1.0,0.08333333333333333,280.0,
Dacia,,3.0,52998.0,1.5,48.0,1.0,0.8333333333333334,270.0,
Fiat,,5.5,66203.5,1.2,50.0,1.0,0.6666666666666667,190.0,
