,id,make,model,true,predict,score,max_depth,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.169718924614429,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
985,3091054,Skoda,Octavia,9.90323752128092,10.026462473540645,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
13867,3163703,Volkswagen,Polo,9.392578591964389,9.424807661426735,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
12631,3161229,Peugeot,5008,10.757796492054402,10.59282295280703,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
15533,3166672,Renault,Clio,9.792555991828847,9.854722745478913,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
925,3090679,Skoda,Superb,10.04107321548869,10.115646086446398,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
1347,3093470,Nissan,Qashqai,9.925738161470948,9.772936436722938,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
9298,3154262,Mazda,Demio,9.099408811268901,8.92487240108706,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
11345,3158790,Audi,A1,9.468851067127684,9.356786058064735,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.631671532756563,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
2006,3097851,Dacia,Sandero,8.954802752850968,9.138425168691985,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
14465,3164845,Bmw,X1,10.517320926376348,10.33308408286993,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
3266,3104483,Bmw,5 Series,10.48849257447637,10.455865709073828,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
2193,3098855,Peugeot,Partner,9.185022563991893,9.281479154235202,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
5776,3136612,Ford,Fiesta,9.301094735244646,9.399613340594245,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
1431,3093985,Toyota,Yaris,9.383452989684827,9.571688161138622,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
4555,3132977,Volkswagen,Caddy,9.047821442478408,8.880394677196504,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
15799,3167103,Volkswagen,Touran,9.708080756193517,9.45757101072893,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
13838,3163654,Bmw,5 Series,10.184522582266116,10.167499517053379,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
566,3088210,Nissan,Juke,9.21024036697585,9.247600955285,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
12298,3160617,Volkswagen,Tiguan,9.648272670221848,9.783861153218048,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
6520,3138750,Bmw,1 Series,9.903487552536127,9.5331501082325,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
2438,3100208,Kia,Sportage,9.74090979777877,9.852129834787942,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
6481,3138649,Audi,A3,9.947504437952903,9.917285234143533,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
10188,3156170,Audi,A3,9.811920359010637,9.813426261860666,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
3980,3108444,Mercedes-benz,C Class,10.543893021838013,10.582678234296198,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
14886,3165522,Kia,Ceed,9.708080756193517,9.608601388074613,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
2605,3101038,Mazda,CX-5,10.084766899751639,10.295706369424328,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
1383,3093634,Bmw,3 Series,9.82822506803558,9.882583759933977,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
3529,3105904,Skoda,Octavia,9.674074388208323,9.712040158660374,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
14717,3165248,Ford,Transit Connect,9.849559210510572,9.687106115192414,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
14105,3164221,Audi,A3,8.098642843759418,8.042649296555082,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
10601,3157023,Renault,Megane,10.274878680310541,9.923977461220536,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
15480,3166534,Hyundai,i10,9.543234787249512,9.398161996421068,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
17080,3169146,Skoda,Octavia,9.973479924356162,10.091817623300638,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
7932,3151040,Renault,Kadjar,9.67721410821299,9.69809653598006,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
17299,3169482,Toyota,Yaris,9.392661928770137,9.227527814310365,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
593,3088327,Volkswagen,T-Roc,10.659609532257463,10.704947688987568,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
7663,3150378,Bmw,5 Series,10.778852117797637,10.850988565984375,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
170,3085382,Volkswagen,Passat,10.032320424379096,9.960119680954273,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
628,3088493,Volkswagen,Passat,10.032320424379096,10.048989999523341,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
1476,3094293,Renault,Kadjar,10.161612072745584,10.063271340832303,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
17223,3169373,Renault,Clio,9.099408811268901,8.946551149002039,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
6958,3140141,Toyota,Prius,9.811920359010637,9.851117917353438,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
10736,3157347,Hyundai,Tucson,10.43396873396056,10.348055849873536,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
523,3087908,Renault,Megane,9.90323752128092,9.876105961618212,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
5902,3137081,Hyundai,Tucson,9.903337541285003,10.048081997676242,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
2514,3100548,Peugeot,3008,10.203592144986466,10.139781387744799,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
12432,3160888,Suzuki,Swift,9.734477009801846,9.712831991144393,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
8818,3153100,Peugeot,3008,10.475878531960273,10.395256280194493,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
11879,3159854,Ford,Mondeo,9.795345393916424,9.711979304579476,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
2621,3101133,Bmw,5 Series,9.047821442478408,8.967511756826681,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
3789,3107440,Mercedes-benz,C Class,10.303940118820748,10.42802803448391,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
15178,3166028,Hyundai,i30,9.769670404801788,9.82385363913822,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
13949,3163922,Dacia,Duster,10.286707051696972,10.342804288313868,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
14036,3164095,Volkswagen,Golf,10.124629101179664,9.85815683111456,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
16447,3168123,Volkswagen,Passat,10.404111313817522,10.143741583487586,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
15703,3166957,Volkswagen,Passat,9.388486557359657,9.29541000030357,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
4204,3109701,Kia,Sorento,10.981897133886719,10.818505082107622,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
15863,3167196,Nissan,Note,9.612466578818832,9.475084556946872,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
16267,3167839,Audi,A3,9.878169744551839,9.824630829614104,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
12209,3160495,Mazda,Mazda3,9.47231994707559,9.722637785946283,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
15329,3166430,Kia,Rio,9.993785190516908,9.942423358625218,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
15289,3166235,Nissan,Qashqai,9.996522418503318,9.960265708002295,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
12289,3160603,Nissan,Micra,9.79784922051313,9.791819481576274,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
4590,3133067,Kia,Ceed,8.400659375160286,8.541054836675812,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
15193,3166050,Volkswagen,Tiguan,10.75683848463641,10.717701738860953,-0.028452456763979485,6,60,6,600,58,0.00691922248303689
