,true,predict,make,model,score,alpha,epsilon,max_iter
14646,9.959395184474424,10.063481439004558,Opel,Grandland X,-0.009569148166418713,5.0,1.35,600
8347,10.165659490817816,10.22319777158009,Opel,Grandland X,-0.009569148166418713,5.0,1.35,600
8142,10.124629101179664,10.26578613395402,Opel,Grandland X,-0.009569148166418713,5.0,1.35,600
4099,10.062625773874425,9.801994126516592,Opel,Grandland X,-0.009569148166418713,5.0,1.35,600
7612,10.34158118013602,10.415190817877653,Opel,Grandland X,-0.009569148166418713,5.0,1.35,600
11689,10.063691304076464,10.036077160302435,Opel,Grandland X,-0.009569148166418713,5.0,1.35,600
16680,10.146433731146518,10.238564998361415,Opel,Grandland X,-0.009569148166418713,5.0,1.35,600
15059,10.307284603543595,10.479390435619685,Opel,Grandland X,-0.009569148166418713,5.0,1.35,600
2480,10.077230753555211,10.118589793328285,Opel,Grandland X,-0.009569148166418713,5.0,1.35,600
10612,10.163926888594034,10.16297883269737,Opel,Grandland X,-0.009569148166418713,5.0,1.35,600
9599,10.643041105910228,10.700788216841397,Opel,Grandland X,-0.009569148166418713,5.0,1.35,600
4619,10.1226230824528,10.054999686180619,Opel,Grandland X,-0.009569148166418713,5.0,1.35,600
2168,10.201738576337144,10.13811503520045,Opel,Grandland X,-0.009569148166418713,5.0,1.35,600
9370,10.1226230824528,10.115082797023016,Opel,Grandland X,-0.009569148166418713,5.0,1.35,600
4356,10.544024782823776,10.523841327666986,Opel,Grandland X,-0.009569148166418713,5.0,1.35,600
15021,10.49515556414622,10.54189317871664,Opel,Grandland X,-0.009569148166418713,5.0,1.35,600
14267,10.04107321548869,10.032615275100698,Opel,Grandland X,-0.009569148166418713,5.0,1.35,600
1863,9.792555991828847,9.705543042767749,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
6285,10.355995266977605,10.383982229775269,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
11409,10.425253116340453,10.333258782574951,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
7735,10.248848736574587,10.333258782574951,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
1796,9.546455401949554,9.396631061383701,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
8948,9.67721410821299,9.659804015844816,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
13939,9.90323752128092,9.916300784368323,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
1492,10.30521234102857,10.293332209832478,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
16342,9.949893925350283,10.006401971188001,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
1299,10.291976036437175,10.38400559262355,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
7615,10.351373376528244,10.318984202639234,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
7476,10.349774655164548,10.387446772823235,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
9602,9.898475010712584,9.98665497569913,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
9024,9.846917201047734,9.933084036293616,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
12495,10.519888668850758,10.464694940464547,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
17349,9.506734385029985,9.573084030978391,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
7444,9.67721410821299,9.656587061370573,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
13650,9.47231994707559,9.492312132509504,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
908,9.54287630006159,9.504375706270634,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
12630,10.509168707314798,10.359963526205815,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
8359,9.099408811268901,9.099695082901983,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
15005,9.73477299914839,9.732865646370199,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
8055,9.738023112808596,9.789017951015143,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
10242,9.531336323457896,9.380806260891209,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
10132,9.259130536145614,9.338979602123638,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
10981,10.292145542327912,10.281590790892915,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
13425,9.90323752128092,9.891194667362157,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
2143,9.648272670221848,9.723308479642856,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
13450,9.740674462130217,9.777569058856521,Opel,Mokka,-0.005077299783896256,7.0,1.35,600
10026,10.271596874100524,10.411223988586373,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
11686,10.03889218954233,10.080996681698895,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
13234,8.60337088765729,8.645786392136982,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
13738,9.90098442231801,9.880113995995561,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
5029,9.695848187757884,9.730219929431629,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
1750,9.949893925350283,9.913683956509999,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
8843,10.03889218954233,9.978670744261457,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
12461,8.691146498539675,8.771811913708106,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
17292,9.301094735244646,9.445198999336949,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
9604,10.1226230824528,10.083357086308386,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
10818,8.915969311373605,8.955724217018624,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
15711,9.74090979777877,9.816235141476458,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
9795,9.543234787249512,9.770377414607458,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
8455,8.656955133791396,8.628768808471685,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
13504,10.106428396532818,10.123664096098695,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
6138,8.516192691082654,8.410297055270522,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
16262,8.507142855562735,8.021150883673592,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
363,7.600902459542082,8.212412923244372,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
7885,9.90098442231801,9.646473476359512,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
16957,8.202482446576537,8.59418942225185,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
2244,10.12643108384767,10.066308341578024,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
2648,9.838949031398556,9.871842447589746,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
1813,9.90098442231801,9.729766065876186,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
12420,9.645364282325891,9.684289158172394,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
15695,8.690978417187905,8.784390586764193,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
6332,9.846282078765348,9.927370690378787,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
16444,10.122422259076282,9.986936101310857,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
9089,9.581559041355757,9.711817715604406,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
14708,9.301094735244646,9.371142031187077,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
16266,9.795345393916424,9.801138922804533,Opel,Insignia,-0.03496756375633054,3.0,1.35,600
15705,8.852950887099581,8.882442683935599,Opel,Astra,-0.01988201449769749,2.0,1.35,600
6324,9.67721410821299,9.693393334334676,Opel,Astra,-0.01988201449769749,2.0,1.35,600
2382,9.543234787249512,9.615601752150466,Opel,Astra,-0.01988201449769749,2.0,1.35,600
5329,9.769956159911606,9.755645974255236,Opel,Astra,-0.01988201449769749,2.0,1.35,600
11356,9.849559210510572,9.726601207515477,Opel,Astra,-0.01988201449769749,2.0,1.35,600
13305,9.47231994707559,9.508268698913525,Opel,Astra,-0.01988201449769749,2.0,1.35,600
3560,9.43747594455993,9.334720391037484,Opel,Astra,-0.01988201449769749,2.0,1.35,600
11103,9.041921720351219,8.98137255540415,Opel,Astra,-0.01988201449769749,2.0,1.35,600
15195,9.673445259530762,9.653364796439039,Opel,Astra,-0.01988201449769749,2.0,1.35,600
11700,9.39182824802156,9.420845039076797,Opel,Astra,-0.01988201449769749,2.0,1.35,600
8715,9.67721410821299,9.60263479808675,Opel,Astra,-0.01988201449769749,2.0,1.35,600
17262,8.846496938558838,9.050140848863945,Opel,Astra,-0.01988201449769749,2.0,1.35,600
17397,10.273325483001141,10.430629657290163,Opel,Astra,-0.01988201449769749,2.0,1.35,600
12658,9.38429367909962,9.393071202802194,Opel,Astra,-0.01988201449769749,2.0,1.35,600
14221,9.468851067127684,9.390078546099092,Opel,Astra,-0.01988201449769749,2.0,1.35,600
8971,9.769956159911606,9.813901244820292,Opel,Astra,-0.01988201449769749,2.0,1.35,600
17429,9.543234787249512,9.412019762062387,Opel,Astra,-0.01988201449769749,2.0,1.35,600
13285,9.099408811268901,9.019947101618005,Opel,Astra,-0.01988201449769749,2.0,1.35,600
1864,8.817297783866575,8.644392643216818,Opel,Astra,-0.01988201449769749,2.0,1.35,600
578,9.795345393916424,9.710112772822187,Opel,Astra,-0.01988201449769749,2.0,1.35,600
1849,8.846496938558838,8.841240028491704,Opel,Astra,-0.01988201449769749,2.0,1.35,600
4396,7.4673710669175595,8.074739767828154,Opel,Astra,-0.01988201449769749,2.0,1.35,600
12550,9.849559210510572,9.839901510880022,Opel,Astra,-0.01988201449769749,2.0,1.35,600
12401,8.292798858200374,8.385584562338881,Opel,Astra,-0.01988201449769749,2.0,1.35,600
17308,9.099408811268901,8.851365647529851,Opel,Astra,-0.01988201449769749,2.0,1.35,600
4823,10.475737478289117,10.301999909750597,Opel,Astra,-0.01988201449769749,2.0,1.35,600
752,8.656955133791396,8.587201797801299,Opel,Astra,-0.01988201449769749,2.0,1.35,600
17263,8.146129510025405,8.309902180562927,Opel,Astra,-0.01988201449769749,2.0,1.35,600
576,9.468851067127684,9.34471100877844,Opel,Astra,-0.01988201449769749,2.0,1.35,600
5064,10.367221568768269,10.425743671773892,Opel,Astra,-0.01988201449769749,2.0,1.35,600
5751,9.612466578818832,9.693567093412959,Opel,Astra,-0.01988201449769749,2.0,1.35,600
4322,8.987071812848821,8.975006547969697,Opel,Astra,-0.01988201449769749,2.0,1.35,600
10186,9.851931065621725,9.890014321818848,Opel,Astra,-0.01988201449769749,2.0,1.35,600
11453,9.099408811268901,9.244415817823457,Opel,Astra,-0.01988201449769749,2.0,1.35,600
17478,10.1226230824528,10.151190633207984,Opel,Astra,-0.01988201449769749,2.0,1.35,600
2457,8.787220328629298,8.784623178781137,Opel,Astra,-0.01988201449769749,2.0,1.35,600
2298,8.980927207648378,8.86508386762402,Opel,Astra,-0.01988201449769749,2.0,1.35,600
6813,9.47231994707559,9.357966805395655,Opel,Astra,-0.01988201449769749,2.0,1.35,600
16482,10.021270588192511,10.111826147458402,Opel,Corsa,-0.008584388870419228,8.3,1.35,600
14400,8.698681067461614,8.681412870492881,Opel,Corsa,-0.008584388870419228,8.3,1.35,600
3482,10.448714603019452,10.410506929115378,Opel,Corsa,-0.008584388870419228,8.3,1.35,600
16484,10.021270588192511,10.088536818887475,Opel,Corsa,-0.008584388870419228,8.3,1.35,600
16477,9.195226734166134,9.234010650361,Opel,Corsa,-0.008584388870419228,8.3,1.35,600
3156,10.286877452992435,10.103758155115651,Opel,Corsa,-0.008584388870419228,8.3,1.35,600
11200,9.846917201047734,9.873491703402491,Opel,Corsa,-0.008584388870419228,8.3,1.35,600
9954,9.581903928408666,9.497538705951108,Opel,Corsa,-0.008584388870419228,8.3,1.35,600
15908,10.03889218954233,10.112602380851902,Opel,Corsa,-0.008584388870419228,8.3,1.35,600
13176,9.157993891603974,9.166069920201817,Opel,Corsa,-0.008584388870419228,8.3,1.35,600
3155,10.286877452992435,10.1053390555339,Opel,Corsa,-0.008584388870419228,8.3,1.35,600
14366,9.2093398716426,9.173177054315934,Opel,Corsa,-0.008584388870419228,8.3,1.35,600
