,true,predict,make,model,score,alpha,epsilon,max_iter
14646,9.959395184474424,10.020092707373372,Opel,Grandland X,-0.02762781161748767,4,1.35,500
8347,10.165659490817816,10.168677863598829,Opel,Grandland X,-0.02762781161748767,4,1.35,500
8142,10.124629101179664,10.229065683234309,Opel,Grandland X,-0.02762781161748767,4,1.35,500
4099,10.062625773874425,9.684496113150974,Opel,Grandland X,-0.02762781161748767,4,1.35,500
7612,10.34158118013602,10.351496884293999,Opel,Grandland X,-0.02762781161748767,4,1.35,500
11689,10.063691304076464,10.11546320963802,Opel,Grandland X,-0.02762781161748767,4,1.35,500
16680,10.146433731146518,10.186615061565705,Opel,Grandland X,-0.02762781161748767,4,1.35,500
15059,10.307284603543595,10.815147237247466,Opel,Grandland X,-0.02762781161748767,4,1.35,500
2480,10.077230753555211,10.15463996292301,Opel,Grandland X,-0.02762781161748767,4,1.35,500
10612,10.163926888594034,10.106045110477433,Opel,Grandland X,-0.02762781161748767,4,1.35,500
9599,10.643041105910228,10.696419463076708,Opel,Grandland X,-0.02762781161748767,4,1.35,500
4619,10.1226230824528,10.057904994970034,Opel,Grandland X,-0.02762781161748767,4,1.35,500
2168,10.201738576337144,10.035636654900962,Opel,Grandland X,-0.02762781161748767,4,1.35,500
9370,10.1226230824528,10.131748812127928,Opel,Grandland X,-0.02762781161748767,4,1.35,500
4356,10.544024782823776,10.586463459355404,Opel,Grandland X,-0.02762781161748767,4,1.35,500
15021,10.49515556414622,10.556860100785489,Opel,Grandland X,-0.02762781161748767,4,1.35,500
14267,10.04107321548869,10.051610201630508,Opel,Grandland X,-0.02762781161748767,4,1.35,500
1863,9.792555991828847,9.724202307229719,Opel,Mokka,-0.0025942043302586088,6,1.35,500
6285,10.355995266977605,10.395089321163447,Opel,Mokka,-0.0025942043302586088,6,1.35,500
11409,10.425253116340453,10.354438296320502,Opel,Mokka,-0.0025942043302586088,6,1.35,500
7735,10.248848736574587,10.352976507580678,Opel,Mokka,-0.0025942043302586088,6,1.35,500
1796,9.546455401949554,9.565844283234417,Opel,Mokka,-0.0025942043302586088,6,1.35,500
8948,9.67721410821299,9.660932660472183,Opel,Mokka,-0.0025942043302586088,6,1.35,500
13939,9.90323752128092,9.921516609738594,Opel,Mokka,-0.0025942043302586088,6,1.35,500
1492,10.30521234102857,10.287271342094773,Opel,Mokka,-0.0025942043302586088,6,1.35,500
16342,9.949893925350283,9.959717058158276,Opel,Mokka,-0.0025942043302586088,6,1.35,500
1299,10.291976036437175,10.39510193456002,Opel,Mokka,-0.0025942043302586088,6,1.35,500
7615,10.351373376528244,10.332411170110822,Opel,Mokka,-0.0025942043302586088,6,1.35,500
7476,10.349774655164548,10.358839020637213,Opel,Mokka,-0.0025942043302586088,6,1.35,500
9602,9.898475010712584,9.95649282242674,Opel,Mokka,-0.0025942043302586088,6,1.35,500
9024,9.846917201047734,9.820736138279436,Opel,Mokka,-0.0025942043302586088,6,1.35,500
12495,10.519888668850758,10.477276310633407,Opel,Mokka,-0.0025942043302586088,6,1.35,500
17349,9.506734385029985,9.561185667782782,Opel,Mokka,-0.0025942043302586088,6,1.35,500
7444,9.67721410821299,9.659192723310213,Opel,Mokka,-0.0025942043302586088,6,1.35,500
13650,9.47231994707559,9.513589604365606,Opel,Mokka,-0.0025942043302586088,6,1.35,500
908,9.54287630006159,9.563697246096872,Opel,Mokka,-0.0025942043302586088,6,1.35,500
12630,10.509168707314798,10.584541159303265,Opel,Mokka,-0.0025942043302586088,6,1.35,500
8359,9.099408811268901,9.18831744747576,Opel,Mokka,-0.0025942043302586088,6,1.35,500
15005,9.73477299914839,9.730217524668486,Opel,Mokka,-0.0025942043302586088,6,1.35,500
8055,9.738023112808596,9.756042480936364,Opel,Mokka,-0.0025942043302586088,6,1.35,500
10242,9.531336323457896,9.421467943659612,Opel,Mokka,-0.0025942043302586088,6,1.35,500
10132,9.259130536145614,9.25219933341733,Opel,Mokka,-0.0025942043302586088,6,1.35,500
10981,10.292145542327912,10.267842764791412,Opel,Mokka,-0.0025942043302586088,6,1.35,500
13425,9.90323752128092,9.919505917549987,Opel,Mokka,-0.0025942043302586088,6,1.35,500
