,id,make,model,true,predict,score,max_depth,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.215612280539938,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
985,3091054,Skoda,Octavia,9.90323752128092,9.827039009804617,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
13867,3163703,Volkswagen,Polo,9.392578591964389,9.441321102090967,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
12631,3161229,Peugeot,5008,10.757796492054402,10.451434965602061,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
15533,3166672,Renault,Clio,9.792555991828847,9.913817845006724,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
925,3090679,Skoda,Superb,10.04107321548869,10.203645509385122,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
1347,3093470,Nissan,Qashqai,9.925738161470948,10.082550368661417,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
9298,3154262,Mazda,Demio,9.099408811268901,9.32867672248106,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
11345,3158790,Audi,A1,9.468851067127684,9.636544391783332,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.660783266600474,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
2006,3097851,Dacia,Sandero,8.954802752850968,9.214128254936249,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
14465,3164845,Bmw,X1,10.517320926376348,10.57861384217235,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
3266,3104483,Bmw,5 Series,10.48849257447637,10.411981584129636,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
2193,3098855,Peugeot,Partner,9.185022563991893,9.444033463486555,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
5776,3136612,Ford,Fiesta,9.301094735244646,9.320931582879714,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
1431,3093985,Toyota,Yaris,9.383452989684827,9.420006763561549,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
4555,3132977,Volkswagen,Caddy,9.047821442478408,9.235166582606938,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
15799,3167103,Volkswagen,Touran,9.708080756193517,9.79642714506049,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
13838,3163654,Bmw,5 Series,10.184522582266116,10.340569087683132,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
566,3088210,Nissan,Juke,9.21024036697585,9.770302249588845,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
12298,3160617,Volkswagen,Tiguan,9.648272670221848,9.939580519499305,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
6520,3138750,Bmw,1 Series,9.903487552536127,9.739414458031293,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
2438,3100208,Kia,Sportage,9.74090979777877,9.665623352976796,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
6481,3138649,Audi,A3,9.947504437952903,10.038422442872518,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
10188,3156170,Audi,A3,9.811920359010637,9.941017056122007,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
3980,3108444,Mercedes-benz,C Class,10.543893021838013,10.58265140280044,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
14886,3165522,Kia,Ceed,9.708080756193517,9.62445752077907,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
2605,3101038,Mazda,CX-5,10.084766899751639,10.407865914221741,-0.05606776436201242,8,1,2,600,1,0.04724723069113576
