,id,make,model,true,predict,score,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
170,3085382,Volkswagen,Passat,10.032320424379096,9.89322773890103,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
628,3088493,Volkswagen,Passat,10.032320424379096,10.111601186125041,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
1476,3094293,Renault,Kadjar,10.161612072745584,10.117271914002117,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
17223,3169373,Renault,Clio,9.099408811268901,8.97855986757384,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
6958,3140141,Toyota,Prius,9.811920359010637,9.833854251577892,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
10736,3157347,Hyundai,Tucson,10.43396873396056,10.354419621880481,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
523,3087908,Renault,Megane,9.90323752128092,9.83463406229238,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
5902,3137081,Hyundai,Tucson,9.903337541285003,10.042360795760063,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
2514,3100548,Peugeot,3008,10.203592144986466,10.193519840098094,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
12432,3160888,Suzuki,Swift,9.734477009801846,9.750178762970725,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
8818,3153100,Peugeot,3008,10.475878531960273,10.330147693702072,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
11879,3159854,Ford,Mondeo,9.795345393916424,9.722500701075669,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
2621,3101133,Bmw,5 Series,9.047821442478408,8.876684872936762,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
3789,3107440,Mercedes-benz,C Class,10.303940118820748,10.386338570504712,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
15178,3166028,Hyundai,i30,9.769670404801788,9.73719954258111,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
13949,3163922,Dacia,Duster,10.286707051696972,10.283336584692208,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
14036,3164095,Volkswagen,Golf,10.124629101179664,9.92648899504747,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
16447,3168123,Volkswagen,Passat,10.404111313817522,10.212858652959435,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
15703,3166957,Volkswagen,Passat,9.388486557359657,9.297362138355094,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
4204,3109701,Kia,Sorento,10.981897133886719,10.815242764508271,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
15863,3167196,Nissan,Note,9.612466578818832,9.392772747729396,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
16267,3167839,Audi,A3,9.878169744551839,9.787077690842516,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
12209,3160495,Mazda,Mazda3,9.47231994707559,9.601599801550222,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
15329,3166430,Kia,Rio,9.993785190516908,9.959028843741057,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
15289,3166235,Nissan,Qashqai,9.996522418503318,9.97582066081432,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
12289,3160603,Nissan,Micra,9.79784922051313,9.824769744356034,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
4590,3133067,Kia,Ceed,8.400659375160286,8.580430574715733,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
15193,3166050,Volkswagen,Tiguan,10.75683848463641,10.653764212208422,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
