,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,5.737201261520386,0.04163136471820776,0.019138526916503907,0.0017604489067491501,6,0.1,12,0,9,6,0,600,"{'max_depth': 6, 'max_features': 0.1, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.03165612156390399,-0.029079862065622547,-0.029636360478385818,-0.027948513566466614,-0.030602694543251603,-0.029784710443526114,0.0012697807281724799,10,-0.011764784629479356,-0.011690019903168973,-0.011312152045411033,-0.011890600981009017,-0.011382272177245132,-0.011607965947262704,0.0002234506905007317
1,12.022570180892945,0.19045210854128172,0.021132135391235353,0.005792568128933082,6,0.2,12,0,9,6,0,600,"{'max_depth': 6, 'max_features': 0.2, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.029478588997711656,-0.02798554332501864,-0.02832974112124856,-0.025462506375908314,-0.029459169532540293,-0.02814310987048549,0.001467024953332129,9,-0.009867807136337278,-0.010075551184556577,-0.010043338104846374,-0.010006629264826102,-0.00977028326362783,-0.009952721790838833,0.00011549779810637768
2,18.154337406158447,0.1157364507801122,0.015391111373901367,0.008262844291613095,6,0.3,12,0,9,6,0,600,"{'max_depth': 6, 'max_features': 0.3, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.02861958834959389,-0.02605131120836991,-0.028298974475433895,-0.02494480461841172,-0.028320295529773682,-0.027246994836316617,0.0014746109744566793,7,-0.009398341916052157,-0.009285001960810342,-0.00911171167385484,-0.009536115218609467,-0.009253015192073083,-0.009316837192279978,0.0001427508884809136
3,24.734105920791627,0.3793529183202122,0.0196256160736084,0.006047573085042791,6,0.4,12,0,9,6,0,600,"{'max_depth': 6, 'max_features': 0.4, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.02860262852169894,-0.02676113533307346,-0.02681909671188161,-0.023826877281156022,-0.027617528505653816,-0.026725453270692773,0.0015957048736275291,2,-0.009051734446131953,-0.009034157733201039,-0.008894787934940663,-0.009090866799915661,-0.008803376770381009,-0.008974984736914066,0.00010835260504896604
4,32.54164905548096,0.4005821162084275,0.017903804779052734,0.0018648047333297958,6,0.5,12,0,9,6,0,600,"{'max_depth': 6, 'max_features': 0.5, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.027602374806660737,-0.026717633645522987,-0.028145600775839878,-0.025000755060931433,-0.027581636125967722,-0.02700960008298455,0.001103612921716722,3,-0.008830776247162012,-0.008630850356274278,-0.008729471879803339,-0.008827560219998707,-0.008575387691444955,-0.008718809278936656,0.00010274588463512033
5,36.17572650909424,0.0810544004223376,0.016027545928955077,0.0007842072457066831,6,0.6,12,0,9,6,0,600,"{'max_depth': 6, 'max_features': 0.6, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.02842990088841624,-0.026727984615213453,-0.028477046141793385,-0.025403764682684373,-0.02716599105240189,-0.027240937476101866,0.0011476532669767788,6,-0.008654720485131993,-0.008584218131223842,-0.008262038881087926,-0.008622582015338224,-0.00841605798146298,-0.008507923498848992,0.0001479292533953997
6,42.91058530807495,0.6369998455080286,0.015958261489868165,0.000691534038494387,6,0.7,12,0,9,6,0,600,"{'max_depth': 6, 'max_features': 0.7, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.026852835050238874,-0.026745998481396648,-0.028039293063119274,-0.024277444016246225,-0.027024392228867128,-0.026587992567973628,0.001243419463432724,1,-0.008429513610565518,-0.008362331830761094,-0.008439536173532896,-0.00842840555363607,-0.008383298339761262,-0.008408617101651366,3.0224499756981814e-05
7,49.63755650520325,0.7750372828006402,0.015894603729248048,0.0005300357940640541,6,0.8,12,0,9,6,0,600,"{'max_depth': 6, 'max_features': 0.8, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.02765533777054906,-0.028195108658558666,-0.027646946465424423,-0.025141357293099506,-0.02800537445570045,-0.027328824928666416,0.0011136420760659367,8,-0.00837050313116455,-0.008432645656671284,-0.00827667857621706,-0.008473189632222827,-0.008285843200934796,-0.008367772039442103,7.789642811267542e-05
8,56.691277551651,0.5800932172879232,0.018234777450561523,0.0052111039619926495,6,0.9,12,0,9,6,0,600,"{'max_depth': 6, 'max_features': 0.9, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.027639380569103134,-0.027480705254639696,-0.02777359165167837,-0.024662960119007853,-0.028132740811081695,-0.027137875681102153,0.0012560364430041213,5,-0.00835761650259566,-0.008441390775390852,-0.008183796973382711,-0.008377656979892555,-0.008258305330478185,-0.008323753312347994,9.13915848282104e-05
9,62.69855570793152,1.148015182198874,0.015886211395263673,0.0005320827465220414,6,1.0,12,0,9,6,0,600,"{'max_depth': 6, 'max_features': 1.0, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.027959840149463677,-0.02702890742861539,-0.028115265651505104,-0.02494322869952242,-0.027616475204767805,-0.02713274342677488,0.0011565631845412306,4,-0.008349689810337482,-0.008259878497007166,-0.008136612095884286,-0.008315034636503902,-0.008288320666891119,-0.008269907141324792,7.295062147171427e-05
