,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.9018866539001467,0.005903276517729282,0.0023345947265625,0.002013175948086288,1,1,2,100,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.07075237101996841,-0.072336493643985,-0.06909639998902858,-0.07409894268674003,-0.07270882693998029,-0.07179860685594046,0.0017208078979746998,79,-0.06892041397953085,-0.0690095990877585,-0.06964038745930838,-0.0685100060460661,-0.06904660821981239,-0.06902540295849525,0.0003620944696411873
1,2.9148032665252686,0.011054269608509568,0.002514028549194336,0.00224468305684934,1,1,3,100,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 100}",-0.07075237101996842,-0.07233649364398473,-0.06909639998902868,-0.07409894268674003,-0.07270882693998029,-0.07179860685594042,0.0017208078979746501,73,-0.06892041397953089,-0.06900959908775825,-0.0696403874593085,-0.0685100060460661,-0.06904660821981236,-0.06902540295849521,0.00036209446964122915
2,2.902795743942261,0.007337188322491778,0.003351306915283203,0.0020037379303158207,1,1,4,100,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",-0.07075237101996838,-0.07233649364398485,-0.06909639998902858,-0.07409894268674003,-0.07270882693998029,-0.07179860685594042,0.0017208078979746935,73,-0.0689204139795308,-0.06900959908775836,-0.06964038745930838,-0.0685100060460661,-0.06904660821981239,-0.06902540295849521,0.00036209446964119093
3,2.8983680248260497,0.004613347626426433,0.0009068489074707031,0.0011231097800289424,1,1,5,100,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.07075237101996842,-0.07233649364398498,-0.0690963999890286,-0.07409894268674003,-0.07270882693998035,-0.07179860685594049,0.0017208078979746978,80,-0.06892041397953086,-0.06900959908775847,-0.06964038745930842,-0.0685100060460661,-0.06904660821981241,-0.06902540295849525,0.00036209446964120123
4,2.906647491455078,0.004869601076875838,0.0019308567047119141,0.002369091593358034,1,1,6,100,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100}",-0.07075237101996837,-0.07233649364398498,-0.06909639998902853,-0.07409894268673992,-0.07270882693998038,-0.07179860685594044,0.0017208078979746996,76,-0.0689204139795308,-0.06900959908775847,-0.06964038745930833,-0.06851000604606597,-0.06904660821981243,-0.0690254029584952,0.00036209446964120714
5,2.9023688793182374,0.011330938918857808,0.001010751724243164,0.002021503448486328,1,1,7,100,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 100}",-0.07075237101996842,-0.07233649364398485,-0.06909639998902853,-0.07409894268674003,-0.07270882693998039,-0.07179860685594044,0.001720807897974716,76,-0.06892041397953086,-0.06900959908775833,-0.06964038745930833,-0.0685100060460661,-0.06904660821981247,-0.06902540295849521,0.0003620944696411701
6,2.899000549316406,0.004877635449734972,0.0010064601898193359,0.0020129203796386717,1,1,8,100,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 100}",-0.07075237101996847,-0.07233649364398483,-0.06909639998902856,-0.07409894268674003,-0.07270882693998035,-0.07179860685594044,0.0017208078979746963,76,-0.0689204139795309,-0.06900959908775832,-0.06964038745930835,-0.0685100060460661,-0.0690466082198124,-0.06902540295849521,0.0003620944696411764
7,2.9096803188323976,0.019772236774650447,0.002520322799682617,0.002391473941248652,1,1,9,100,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 100}",-0.07075237101996823,-0.07233649364398483,-0.0690963999890286,-0.07409894268674003,-0.07270882693998039,-0.07179860685594042,0.0017208078979747163,73,-0.06892041397953066,-0.06900959908775835,-0.0696403874593084,-0.0685100060460661,-0.06904660821981247,-0.0690254029584952,0.00036209446964120476
8,2.907564306259155,0.007960651485213702,0.0015067100524902345,0.0030134201049804685,1,1,10,100,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-0.07075237101996841,-0.07233649364398483,-0.06909639998902876,-0.07409894268674003,-0.07270882693998035,-0.07179860685594049,0.0017208078979746376,80,-0.06892041397953085,-0.06900959908775835,-0.06964038745930856,-0.0685100060460661,-0.06904660821981241,-0.06902540295849525,0.00036209446964125024
9,5.674796104431152,0.012414249017712946,0.0010191917419433594,0.0020383834838867193,2,1,2,100,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.043760543855373785,-0.0438852468819095,-0.04226527480009673,-0.043354824036449295,-0.04430528677992704,-0.043514235270751274,0.0006941749381130843,69,-0.03860243257485273,-0.038718453291912994,-0.038784670708080046,-0.03882001612191466,-0.0385489172855722,-0.038694897996466526,0.00010404687324191876
