,id,make,model,true,predict,score,ccp_alpha,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.163209029210648,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
985,3091054,Skoda,Octavia,9.90323752128092,9.95442689121045,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
13867,3163703,Volkswagen,Polo,9.392578591964389,9.31217326851727,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
12631,3161229,Peugeot,5008,10.757796492054402,10.6328364924113,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
15533,3166672,Renault,Clio,9.792555991828847,9.855269592625481,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
925,3090679,Skoda,Superb,10.04107321548869,10.140312602034259,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
1347,3093470,Nissan,Qashqai,9.925738161470948,9.819952098516469,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
9298,3154262,Mazda,Demio,9.099408811268901,8.945514084983104,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
11345,3158790,Audi,A1,9.468851067127684,9.34412421892338,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.646274067711271,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
2006,3097851,Dacia,Sandero,8.954802752850968,9.12068264062909,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
14465,3164845,Bmw,X1,10.517320926376348,10.381876610142665,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
3266,3104483,Bmw,5 Series,10.48849257447637,10.509162333608804,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
2193,3098855,Peugeot,Partner,9.185022563991893,9.324156067909184,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
5776,3136612,Ford,Fiesta,9.301094735244646,9.475226281328464,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
1431,3093985,Toyota,Yaris,9.383452989684827,9.452042157329691,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
4555,3132977,Volkswagen,Caddy,9.047821442478408,8.762146685303888,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
15799,3167103,Volkswagen,Touran,9.708080756193517,9.625763945377987,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
13838,3163654,Bmw,5 Series,10.184522582266116,10.158455347088482,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
566,3088210,Nissan,Juke,9.21024036697585,9.321465997343578,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
12298,3160617,Volkswagen,Tiguan,9.648272670221848,9.785393810295606,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
6520,3138750,Bmw,1 Series,9.903487552536127,9.576140505441803,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
2438,3100208,Kia,Sportage,9.74090979777877,9.811956880719231,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
6481,3138649,Audi,A3,9.947504437952903,9.977131351093309,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
10188,3156170,Audi,A3,9.811920359010637,9.735323191485504,-0.026927526538873016,0,6,0.7,12,0,9,6,0,600,58,0.009676171195499477
