,true,predict,make,model,score,alpha,epsilon,max_iter,features
164,10.75683848463641,10.801421573522248,Audi,Q5,-0.007970157361151127,1,1.35,600,"('nct_remaining', 'tax', 'body')"
6815,11.14836234818249,11.219875011731878,Audi,Q5,-0.007970157361151127,1,1.35,600,"('nct_remaining', 'tax', 'body')"
4120,9.254357257392957,9.266279894401125,Audi,Q5,-0.007970157361151127,1,1.35,600,"('nct_remaining', 'tax', 'body')"
11898,10.307284603543595,10.33668739508371,Audi,Q5,-0.007970157361151127,1,1.35,600,"('nct_remaining', 'tax', 'body')"
5998,9.952230096524119,10.019429831207324,Audi,Q5,-0.007970157361151127,1,1.35,600,"('nct_remaining', 'tax', 'body')"
11135,10.305613759378778,10.23439046628636,Audi,Q5,-0.007970157361151127,1,1.35,600,"('nct_remaining', 'tax', 'body')"
9803,10.432644132986843,10.503232608835315,Audi,Q5,-0.007970157361151127,1,1.35,600,"('nct_remaining', 'tax', 'body')"
16843,11.12652741957929,11.174286896109356,Audi,Q5,-0.007970157361151127,1,1.35,600,"('nct_remaining', 'tax', 'body')"
1227,10.967335848767897,11.039093295760203,Audi,Q5,-0.007970157361151127,1,1.35,600,"('nct_remaining', 'tax', 'body')"
1761,10.75683848463641,10.645081163802727,Audi,Q5,-0.007970157361151127,1,1.35,600,"('nct_remaining', 'tax', 'body')"
2174,10.46310334047155,10.422608238778494,Audi,Q5,-0.007970157361151127,1,1.35,600,"('nct_remaining', 'tax', 'body')"
16793,10.644233711895351,10.688617109852615,Audi,Q5,-0.007970157361151127,1,1.35,600,"('nct_remaining', 'tax', 'body')"
10923,10.621205387030278,10.567495150829364,Audi,Q5,-0.007970157361151127,1,1.35,600,"('nct_remaining', 'tax', 'body')"
4467,10.04107321548869,10.125888835408373,Audi,Q5,-0.007970157361151127,1,1.35,600,"('nct_remaining', 'tax', 'body')"
9613,10.75577295443437,10.807677628512526,Audi,Q5,-0.007970157361151127,1,1.35,600,"('nct_remaining', 'tax', 'body')"
