,true,predict,make,model,score,alpha,epsilon,max_iter,features
164,10.75683848463641,10.855085135997792,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
6815,11.14836234818249,11.168508416897229,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
4120,9.254357257392957,9.392401955626168,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
11898,10.307284603543595,10.18472449142334,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
5998,9.952230096524119,10.07136289731331,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
11135,10.305613759378778,10.513170265658523,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
9803,10.432644132986843,10.092992177232517,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
16843,11.12652741957929,11.182846244374106,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
1227,10.967335848767897,10.819905983324361,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
1761,10.75683848463641,10.73748767130746,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
2174,10.46310334047155,10.327299299443528,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
16793,10.644233711895351,10.609538339463436,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
10923,10.621205387030278,10.609230545932396,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
4467,10.04107321548869,9.971022011991675,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
9613,10.75577295443437,10.882025752616466,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
6893,9.851931065621725,9.809758815398972,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
14891,10.489884363149192,10.132740547398402,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
5118,10.667791927412402,10.827719682989247,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
15942,10.667791927412402,10.698801810030025,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
1420,11.212927866795798,11.155242479777595,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
7225,10.04107321548869,10.172873838966266,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
7867,9.612466578818832,10.206453860036206,Audi,Q5,-0.036912665531872516,1,1.35,600,"('owners', 'color')"
6520,9.903487552536127,9.870218316759193,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
13473,10.085600754292345,9.92975316020043,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
13915,9.612466578818832,9.590808287983537,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
17130,10.16199824768763,10.221207185464493,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
15009,10.043032079974024,9.982551541007204,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
5727,9.67721410821299,9.529233048263306,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
3655,9.612466578818832,9.506737650765793,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
1023,9.578449693540579,9.58860014301555,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
12729,9.67721410821299,9.712987172072202,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
1775,9.543234787249512,9.641204929807088,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
2073,9.648272670221848,9.66983527775618,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
4055,9.996522418503318,10.19195969041616,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
3729,9.543234787249512,9.550645578932816,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
12817,9.67721410821299,9.74408862119051,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
1337,9.205327830152639,9.060220527161963,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
6759,8.817297783866575,9.296634260712029,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
16782,10.126231023828998,10.18657921708698,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
9632,9.740674462130217,9.814458009277937,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
7515,8.00469951054955,8.553294086658855,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
9808,9.851931065621725,9.913405048828174,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
4534,9.543234787249512,9.591813999110208,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
76,9.605755144230846,9.570770046009368,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
10067,9.235032984566555,9.343065697720881,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
3207,9.85214162518454,9.560529926167419,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
8722,9.578103612900335,9.685088421242869,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
6027,9.350102314351341,9.404288457480666,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
1890,9.468851067127684,9.562672039455563,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
8398,9.90098442231801,9.950789234632225,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
12833,9.67721410821299,9.796679161328917,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
15010,9.851931065621725,9.70726058568271,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
14312,9.099408811268901,9.2668765110671,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
5405,9.612466578818832,9.396432845920218,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
15011,10.775429243836092,10.6506944283761,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
13605,10.714306651468048,10.854393396901024,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
14369,9.811920359010637,9.852732916160532,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
5419,9.795345393916424,9.755954241844927,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
813,9.539644119118783,9.68922247839831,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
17398,9.60911649193355,9.694949410110379,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
8581,9.849559210510572,9.848378530693939,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
8099,9.413281215972873,9.366490500136768,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
6876,9.792555991828847,10.193422450911585,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
9770,9.735068900911164,9.748332127563723,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
2523,9.735068900911164,9.705414132990185,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
5899,10.1226230824528,10.038648571871413,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
1221,9.90323752128092,9.964827191413752,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
4512,9.546455401949554,9.41481081695705,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
474,9.539644119118783,9.565983092125894,Bmw,1 Series,-0.02514338805321818,1,1.35,600,"('owners', 'color')"
1383,9.82822506803558,9.896493930340364,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
4024,9.612466578818832,7.405376052961902,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
12700,10.083723602839061,9.797688812160763,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
6001,10.630432112679363,10.61391987892445,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
12660,9.90098442231801,9.760994308912192,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
12954,9.90098442231801,9.930138125550153,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
11654,10.163926888594034,10.044817425812225,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
11671,10.798554647958657,10.692204094183172,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
6551,10.083723602839061,10.032397938507138,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
3841,10.203406942652387,10.143243132010705,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
16487,8.83927669058535,8.758582608438065,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
5430,11.050096039472493,11.070234489796416,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
11444,9.878169744551839,9.951436544016852,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
10147,10.238172478583245,12.962896386636858,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
8036,10.262908722142885,10.369651268615968,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
826,9.392245175273795,12.232599162286455,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
6845,10.461673747661957,10.346994843642682,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
7937,9.38429367909962,9.529958116429352,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
16005,10.667791927412402,10.655636585990854,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
10894,9.798071479779479,10.175149150751084,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
16051,9.67721410821299,9.623903742617816,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
2175,10.238172478583245,10.304533858136592,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
10229,10.124629101179664,10.090105024902659,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
8826,9.98736903651683,10.060577818737844,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
8506,9.849559210510572,9.88919535899179,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
8751,9.468851067127684,9.3144649759975,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
7076,11.002016504398489,10.97017438650054,Bmw,3 Series,-0.2771682808487566,1,1.35,600,"('owners', 'color')"
