,true,predict,make,model,score,alpha,epsilon,max_iter,features
164,10.75683848463641,10.82866651800756,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
6815,11.14836234818249,11.205851397896836,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
4120,9.254357257392957,9.382058257408033,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
11898,10.307284603543595,10.209715259684975,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
5998,9.952230096524119,10.163449276734045,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
11135,10.305613759378778,10.437031178699085,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
9803,10.432644132986843,10.38819107843462,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
16843,11.12652741957929,11.190175107983391,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
1227,10.967335848767897,10.839598664294376,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
1761,10.75683848463641,10.670180545484763,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
2174,10.46310334047155,10.280875352483926,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
16793,10.644233711895351,10.553592732147417,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
10923,10.621205387030278,10.526032516921639,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
4467,10.04107321548869,9.972381769040108,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
9613,10.75577295443437,10.85642872943613,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
6893,9.851931065621725,9.875047456557066,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
14891,10.489884363149192,10.090790261489271,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
5118,10.667791927412402,10.785202987454321,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
15942,10.667791927412402,10.743102024987511,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
1420,11.212927866795798,11.185340677827066,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
7225,10.04107321548869,10.195366653023799,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
7867,9.612466578818832,10.231065449452156,Audi,Q5,-0.035357248568066345,1,1.35,600,"('body', 'color', 'fuel')"
6520,9.903487552536127,9.827681746930752,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
13473,10.085600754292345,9.914638899266656,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
13915,9.612466578818832,9.600822996799048,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
17130,10.16199824768763,10.177985768643424,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
15009,10.043032079974024,10.027074812943257,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
5727,9.67721410821299,9.513767087715166,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
3655,9.612466578818832,9.519836425647586,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
1023,9.578449693540579,9.591873009192591,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
12729,9.67721410821299,9.722865265341513,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
1775,9.543234787249512,9.62875265015808,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
2073,9.648272670221848,9.663497682062088,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
4055,9.996522418503318,10.195458667575222,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
3729,9.543234787249512,9.560840823963668,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
12817,9.67721410821299,9.75191004748207,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
1337,9.205327830152639,9.085236740798896,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
6759,8.817297783866575,9.267874050823382,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
16782,10.126231023828998,10.162306711837312,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
9632,9.740674462130217,9.796680315000565,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
7515,8.00469951054955,8.591485673128236,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
9808,9.851931065621725,9.943693176858554,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
4534,9.543234787249512,9.582627827602279,Bmw,1 Series,-0.026582756866249647,1,1.35,600,"('body', 'color', 'fuel')"
