,true,predict,make,model,score,alpha,epsilon,max_iter,features
164,10.75683848463641,10.812060921627136,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
6815,11.14836234818249,11.184800211568005,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
4120,9.254357257392957,9.324362579449096,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
11898,10.307284603543595,10.267896688228406,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
5998,9.952230096524119,10.017751661282148,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
11135,10.305613759378778,10.575257346694578,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
9803,10.432644132986843,10.234850477900437,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
16843,11.12652741957929,11.193593683889192,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
1227,10.967335848767897,10.873494941135762,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
1761,10.75683848463641,10.765032974857048,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
2174,10.46310334047155,10.452252437132845,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
16793,10.644233711895351,10.636345398426187,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
10923,10.621205387030278,10.609582251895382,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
4467,10.04107321548869,10.116832130765113,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
9613,10.75577295443437,10.844029009351289,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
6893,9.851931065621725,9.759808869713494,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
14891,10.489884363149192,10.279192039083075,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
5118,10.667791927412402,10.815566349840328,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
15942,10.667791927412402,10.75058650364139,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
1420,11.212927866795798,11.198459702983293,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
7225,10.04107321548869,10.18277930677488,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
7867,9.612466578818832,10.269142672505986,Audi,Q5,-0.031238664957902104,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
6520,9.903487552536127,9.896338591887426,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
13473,10.085600754292345,9.944785456856412,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
13915,9.612466578818832,9.604143240502584,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
17130,10.16199824768763,10.239600255069082,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
15009,10.043032079974024,10.018877400395503,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
5727,9.67721410821299,9.545373537974223,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
3655,9.612466578818832,9.522799864488672,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
1023,9.578449693540579,9.570763085785023,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
12729,9.67721410821299,9.7320237582846,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
1775,9.543234787249512,9.62678571023889,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
2073,9.648272670221848,9.684140985262136,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
4055,9.996522418503318,10.20572264008371,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
3729,9.543234787249512,9.540660155369137,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
12817,9.67721410821299,9.7640860682847,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
1337,9.205327830152639,9.066340545794704,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
6759,8.817297783866575,9.299045554742417,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
16782,10.126231023828998,10.193594730480225,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
9632,9.740674462130217,9.850758010269397,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
7515,8.00469951054955,8.581322870045788,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
9808,9.851931065621725,9.942841549586172,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
4534,9.543234787249512,9.576791998004111,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
76,9.605755144230846,9.55560539675323,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
10067,9.235032984566555,9.311547324069727,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
3207,9.85214162518454,9.570870019825024,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
8722,9.578103612900335,9.682736429446924,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
6027,9.350102314351341,9.405865860865262,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
1890,9.468851067127684,9.560436747880088,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
8398,9.90098442231801,9.937131613328473,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
12833,9.67721410821299,9.80453042085365,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
15010,9.851931065621725,9.727684412866115,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
14312,9.099408811268901,9.224097520990709,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
5405,9.612466578818832,9.378068859733341,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
15011,10.775429243836092,10.679824575782785,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
13605,10.714306651468048,10.903648101371548,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
14369,9.811920359010637,9.890002419401206,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
5419,9.795345393916424,9.764324912335614,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
813,9.539644119118783,9.665317444728798,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
17398,9.60911649193355,9.688947352658216,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
8581,9.849559210510572,9.83657202105664,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
8099,9.413281215972873,9.340176446707648,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
6876,9.792555991828847,10.197076613742967,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
9770,9.735068900911164,9.740670550596354,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
2523,9.735068900911164,9.699997603786645,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
5899,10.1226230824528,10.057098345400629,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
1221,9.90323752128092,9.958469927012832,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
4512,9.546455401949554,9.436592943481582,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
474,9.539644119118783,9.546367927253371,Bmw,1 Series,-0.025574970230487742,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
1383,9.82822506803558,9.842076193206097,Bmw,3 Series,-0.1339723620368493,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'body', 'color')"
