,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_epsilon,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,make,model
0,0.004899072647094727,0.0034417042407952725,0.0020186901092529297,0.004037380218505859,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.005496920436796543,-0.010328019737776303,-0.010176147817325796,-0.011271438064567837,-0.008078212393062351,-0.009070147689905767,0.002068963330739979,1,-0.0060684866295982395,-0.00549289648384001,-0.005044835801069687,-0.005769250343493532,-0.0052508361870800754,-0.005525261089016309,0.00036381030661882175,Audi,Q5
0,0.004805850982666016,0.004496467694748802,0.0012018680572509766,0.002403736114501953,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.015146728915749315,-0.013932430667098426,-0.0021760920501868726,-0.015012460977370039,-0.01447377984398911,-0.012148298490878753,0.005004595971773872,1,-0.008763453207601102,-0.008971875478140446,-0.011475913127710053,-0.009300581940490714,-0.008454633711571118,-0.009393291493102687,0.0010771512510748126,Bmw,1 Series
0,0.00770864486694336,0.004485711857042041,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.46258459508659416,-0.01873661693421849,-0.012289329640347594,-0.021325250617228876,-0.21316524591131825,-0.14562020763794145,0.17570120094314184,1,-0.06344144867116275,-0.15221358199629934,-0.15108638700959706,-0.15537997176591892,-0.11996371428319921,-0.12841702074523545,0.03492981700049775,Bmw,3 Series
0,0.006309223175048828,0.004112366250303775,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-1.3508881022476444,-0.017195169786830878,-0.13653995080318415,-0.11615143385940632,-0.03949069972335414,-0.332053071284084,0.5113886891650709,1,-0.009894963745730389,-0.05033973310772356,-0.034818694420092604,-0.024489911301493587,-0.04640612137931436,-0.0331898847908709,0.014763347268666474,Bmw,7 Series
0,0.00430765151977539,0.0026216394626103405,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.015175795904762786,-0.018211119447778135,-0.023708615069196484,-0.010054763700042223,-0.01384337327922093,-0.016198733480200112,0.004578001886900949,1,-0.013514542366499183,-0.013165521838127917,-0.01167212273733674,-0.015386506251536994,-0.014809348435822663,-0.013709608325864698,0.0013043652341790208,Bmw,X5
0,0.00430750846862793,0.004257497672536329,0.0020019054412841798,0.004003810882568359,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.03639055129234682,-0.36039676674150456,-0.01984464571881954,-0.030821830487134945,-0.01738674744868321,-0.09296810833769782,0.13389611648346583,1,-0.012506295513756115,-0.01274118506217402,-0.01697752736881089,-0.012865230845373462,-0.015011808681824638,-0.014020409494387825,0.0017315202844632544,Citroen,Grand C4 Picasso
0,0.008131074905395507,0.004146355596902888,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.16342446529181903,-0.013355696144584832,-0.8757770139194194,-3.4053928119676,-0.011608581252292523,-0.8939117137151431,1.29578667318032,1,-0.11110170152174569,-0.14673546945165522,-0.017991566729872108,-0.013884119494069055,-0.1589082077351345,-0.08972421298649531,0.06227519221826382,Fiat,500
0,0.007413244247436524,0.003936808185312518,0.0006009101867675781,0.001201820373535156,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.007155338045253435,-0.01045563695462926,-0.018145480941397937,-0.009479511499565826,-0.012703315546237376,-0.011587856597416766,0.00373151301189468,1,-0.01224012547069034,-0.011534629526253613,-0.009832696243891827,-0.011754762892395087,-0.011090606128100432,-0.01129056405226626,0.0008175667708830086,Ford,Focus
0,0.006414985656738282,0.005796715639880324,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.43393845230246664,-0.01373483030897012,-0.024143189475667653,-0.016788508112872056,-0.02862200953013618,-0.10344539794602255,0.16533023994507398,1,-0.011885742280135947,-0.09255582399312208,-0.0926992016321214,-0.08154052900948348,-0.08590119644871005,-0.07291649867271459,0.030805155207707206,Ford,Mondeo
0,0.0040090084075927734,0.003956018848410865,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.009319411752744875,-0.03276613547122533,-0.00818807208012418,-0.012398250515485914,-0.012516592288239651,-0.015037692421563989,0.009024813849073575,1,-0.011802828417529315,-0.007611844093249859,-0.012706248568261904,-0.012438411319161685,-0.010818784757012674,-0.011075623431043086,0.001849794024420236,Ford,Ranger
0,0.006028413772583008,0.003854282719647418,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.03287262681587758,-0.022784720823290718,-0.027026871706108766,-0.043898686433136686,-0.007900939558017088,-0.02689676906728617,0.011853636371589963,1,-0.013956483007338526,-0.01829448689672831,-0.014447540238202085,-0.011923918351551797,-0.018305159155833476,-0.015385517529930837,0.0025255106390187063,Ford,S-Max
0,0.006012773513793946,0.005266406808380782,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.034943829493416304,-0.2089696795365397,-0.090377178286629,-0.060382883207245185,-0.012322777004838217,-0.08139926950573367,0.06888565972322197,1,-0.04141709191220249,-0.02928314465434852,-0.03570507047778426,-0.03716953789325424,-0.04840472426112907,-0.038395913839743716,0.006341782102591594,Ford,Transit
0,0.005702447891235351,0.002400805697721483,0.0006090641021728515,0.0004922113218640847,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.029521231217213468,-0.08874313423305838,-0.020514359931132178,-0.06929097951373593,-0.011438474441857577,-0.0439016358673995,0.029876399749073336,1,-0.032293950601313806,-0.020499811715938208,-0.033652220049516235,-0.025958301179582345,-0.03511533997368932,-0.029503924704007985,0.005479526931933134,Ford,Transit Connect
0,0.006409502029418946,0.0036845662838792172,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.04198404817206871,-0.037170871781658114,-0.029849989381363747,-0.026807540424585684,-0.07094337330627926,-0.041351164613191105,0.01573129518726499,1,-0.02886770558624324,-0.025933236957166303,-0.02720721523261849,-0.026456478211979755,-0.019633893106682124,-0.025619705818937983,0.003152717312590479,Ford,Transit Custom
0,0.006680965423583984,0.005072475899226856,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.04174522708550028,-1.0417886529944775,-0.014090207539416458,-0.008010987979104812,-0.08537294792069049,-0.23820160470383792,0.4027201234576253,1,-0.2017688845814942,-0.01993258840085108,-0.24790858465586785,-0.2656033548438382,-0.25007289240091635,-0.19705726097659354,0.09109383108835561,Honda,Civic
0,0.003856372833251953,0.00349976434455471,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.006828547407812426,-0.045345456455097695,-0.010842342765307437,-0.005183219695629007,-0.00308777933565776,-0.014257469131900865,0.01575067550847048,1,-0.01192951789592135,-0.004299703092487979,-0.011896362009381448,-0.011824274467602586,-0.014238989805756547,-0.01083776945422998,0.003394122467718209,Hyundai,Santa Fe
0,0.008020639419555664,0.0028488769801498755,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.010557482089854244,-0.011690249805471566,-0.01855224564160609,-0.011804193970589726,-0.010630073814692212,-0.012646849064442767,0.002997722310206222,1,-0.011540150785972755,-0.011524115389936945,-0.010389560990930451,-0.01196890533542823,-0.011460121766184625,-0.011376570853690602,0.0005254630618495201,Hyundai,i30
0,0.006215906143188477,0.003763899365772766,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.014749424669175646,-0.009796717501838154,-0.0061677399823685634,-0.023313484350061763,-0.020506549697769914,-0.014906783240242808,0.006395911484102631,1,-0.011093570145320761,-0.013162767016368808,-0.013352669880752285,-0.009571430911506319,-0.009954593060264173,-0.01142700620284247,0.0015775541785247773,Kia,Ceed
0,0.007922172546386719,0.0039662208355959695,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.030549705930630472,-0.03125283656172766,-0.012784562373231929,-0.02621437461469656,-0.061266065239544545,-0.03241350894396623,0.015880905117467318,1,-0.016493210214290992,-0.017973723303510644,-0.018872932543198426,-0.017556226768148657,-0.012885357920430052,-0.016756290149915753,0.0020811316380999435,Kia,Rio
0,0.009011983871459961,0.0013837965744920057,0.0007041454315185547,0.0014082908630371094,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.04257848201728434,-0.047159817080785454,-0.03700729566389651,-0.004864014156460561,-0.02841466379251334,-0.032004854542188044,0.0149399704897108,1,-0.0157879525669035,-0.013612201647008337,-0.02090208205777496,-0.020225067114548335,-0.01671669931828931,-0.01744880054090489,0.0027439638695957486,Kia,Sorento
0,0.008919715881347656,0.0024019984171562998,0.0011022567749023437,0.0022045135498046874,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.024366079793224128,-0.025067905840457726,-0.07283185398891626,-0.057006136687450415,-0.02490181797349225,-0.04083475885670816,0.020292842123095192,1,-0.02110756844583062,-0.020069903590107394,-0.01857821468439317,-0.019684764958666025,-0.020252840321705063,-0.019938658400140453,0.0008243246032944642,Land,ROVER Discovery
0,0.00861825942993164,0.0025552368129181007,0.0014020442962646485,0.0025588638895970963,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.025457762993214825,-0.02077108292090035,-0.03039979817438501,-0.016445773901876536,-0.007685543219311618,-0.020151992241937665,0.007780750716748727,1,-0.008528497808134087,-0.010775277838858777,-0.011705369598390967,-0.013326712192603712,-0.01310667679891864,-0.011488506847381235,0.0017501343643881355,Land,ROVER Range Rover Sport
0,0.006012773513793946,0.003866510046173997,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.0066086744697384635,-0.01197263559260456,-0.008888042591959765,-0.000760931942037917,-0.004177287712710519,-0.006481514461810245,0.00384693342439571,1,-0.005012060400077831,-0.004620008572448628,-0.0044410578873674824,-0.006424499839653073,-0.005651213985577384,-0.00522976813702488,0.0007274981357722454,Mazda,Mazda2
0,0.0060119152069091795,0.0029988361872012362,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.15972460814086598,-0.03480283877238091,-0.017064037471026732,-0.05278524890885249,-0.012884470520520372,-0.055452240762729296,0.05402204450427126,1,-0.018769436804609727,-0.016620181783000922,-0.0181008337009956,-0.011981321340212745,-0.01910850624977276,-0.01691605597571835,0.002610927207724922,Mazda,Mazda3
0,0.008913946151733399,0.003131967612182464,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.002030723563154348,-0.03324785665477228,-0.003968127243715879,-0.00496843439844925,-0.00572344979464645,-0.009987718330947642,0.011695815275391026,1,-0.010464336000479475,-0.0032911882419052662,-0.010181484761308344,-0.0102726165161599,-0.008982500819416612,-0.00863842526785392,0.0027238537198886526,Mercedes-benz,A Class
0,0.006717252731323242,0.004197847702732175,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.12661944607453854,-0.011555159574021201,-0.010262679558641756,-0.017430351102629894,-0.01154950194278881,-0.03548342765052404,0.04563588144051782,1,-0.010944710779741072,-0.03833893572519317,-0.03887720532717496,-0.039730459209378705,-0.0384973135956256,-0.0332777249274227,0.011176899766804641,Mini,Hatch
0,0.0061070919036865234,0.0035453174123901755,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.02004266439473786,-0.012550871429475474,-0.01014674751615817,-0.007906047464724066,-0.011246484643299645,-0.01237856308967904,0.004123933495016648,1,-0.008809816505254987,-0.009152195547107217,-0.009924133860213194,-0.011619815197365439,-0.009885761571249471,-0.009878344536238062,0.0009699398172647823,Nissan,Micra
0,0.00601043701171875,0.0038641623745261705,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.009372655353766976,-0.018834257763686697,-0.021780740851758795,-0.014524513260848254,-0.01899474820475307,-0.016701383086962757,0.004337224127943175,1,-0.01432924540514555,-0.01336782600842918,-0.011205779354010572,-0.013968577216071225,-0.012660039803602639,-0.013106293557451834,0.0011062224191291919,Opel,Insignia
0,0.008011817932128906,0.0030718471197493462,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.011219351370676037,-0.02731056692534678,-0.018616874562626944,-0.025221201116346504,-0.2724793062968951,-0.07096946005437828,0.10091193088350012,1,-0.07544955743806617,-0.0684119990649561,-0.061957117549054475,-0.05361702929263693,-0.013884034621113844,-0.05466394759316551,0.021625624448033887,Peugeot,308
0,0.005825614929199219,0.0038584433564070857,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.028174904804752727,-0.031044260078114727,-0.027969143421368914,-0.022886632626016604,-0.01106285336494505,-0.024227558859039607,0.00708739676427095,1,-0.02034207392128321,-0.01866471845477994,-0.01937225258959947,-0.022099385706364924,-0.02362066713229344,-0.0208198195608642,0.0018138461042201707,Peugeot,5008
0,0.006408834457397461,0.003995532089870946,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.013751838267652043,-0.025649073357881327,-0.0059078298458851534,-0.009968059257218949,-0.03790084978506489,-0.018635530102740473,0.011673150235307675,1,-0.015502615653310242,-0.013033619507228405,-0.017714618154516065,-0.01697129699184893,-0.010247672720819776,-0.014693964605544684,0.0027382755357103633,Peugeot,Partner
0,0.006008577346801758,0.0060179515898942035,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.009756792812986935,-0.17266726470685909,-0.010974867989820844,-0.01712937680943254,-0.009307734066484406,-0.04396720727711677,0.06441133428104913,1,-0.04401576202022693,-0.010205398550920376,-0.04175243677628446,-0.04229444071325417,-0.045286369886596047,-0.036710881589456394,0.013311906850178395,Renault,Megane
0,0.007898712158203125,0.0032393876965919667,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.01297143831808001,-0.06076986236520588,-0.0010736819492741013,-0.00414595600176729,-0.13416043744079675,-0.04262427521502481,0.050585481937602726,1,-0.04555642980471131,-0.03268116037545535,-0.04821549768799817,-0.047841164099273,-0.01960068484073894,-0.038778987361635354,0.011154329042747008,Renault,Trafic
0,0.004007959365844726,0.0032252806855387725,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.013597069943667899,-0.009158607654921252,-0.012045960184162149,-0.008094414475840616,-0.008921434646548099,-0.010363497381028004,0.002096030248572498,1,-0.007975828474757404,-0.008628361142238035,-0.007863525612116137,-0.008626988487483861,-0.008872810622382408,-0.008393502867795569,0.0003986822437530162,Seat,Ibiza
0,0.003806877136230469,0.0036582135902791775,0.00020122528076171875,0.0004024505615234375,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.014545132201095986,-0.026892246574638835,-0.015200835418734964,-0.005424589242697864,-0.020709117004207966,-0.01655438408827512,0.007125654030912348,1,-0.010473640873544665,-0.011196022824782154,-0.010332441734555156,-0.012650106903506764,-0.009872189180549853,-0.010904880303387718,0.0009706373338846552,Seat,Leon
0,0.01142578125,0.0023334073201817756,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.0019457897035424117,-0.017103773764064033,-0.019740281243968837,-0.00859477393193039,-0.046334991875916665,-0.018743922103884467,0.015166623948878633,1,-0.0129835032158098,-0.013918751475673933,-0.010400909301309068,-0.012408921618931068,-0.0064813257464316956,-0.011238682271631113,0.0026431396426724045,Suzuki,Swift
0,0.00621185302734375,0.003550276690292553,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.01964778475079146,-0.010219093906131025,-0.02806598024744038,-0.01611734771878567,-0.010168154776870445,-0.016843672280003795,0.0066750035625349115,1,-0.012236183058483846,-0.014181283204421436,-0.010150638509724842,-0.013677386700124194,-0.014240659361134276,-0.012897230166777717,0.001551965684558194,Toyota,Avensis
0,0.0056192874908447266,0.003936794787089261,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.00933925027626064,-0.024178544107427823,-0.009652798585892994,-0.0053272822901239344,-0.6039039807291379,-0.13048037119776865,0.23679854798920427,1,-0.14327468150970776,-0.1264276683839183,-0.1387688564773445,-0.14063836515241884,-0.009272759538396288,-0.11167646621235712,0.051527378191666875,Toyota,Corolla
