,true,predict,make,model,score,alpha,epsilon,max_iter,features
164,10.75683848463641,10.838543818142071,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color', 'fuel')"
6815,11.14836234818249,11.16303560032428,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color', 'fuel')"
4120,9.254357257392957,9.382825754022374,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color', 'fuel')"
11898,10.307284603543595,10.192853791531777,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color', 'fuel')"
5998,9.952230096524119,10.090881587370673,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color', 'fuel')"
11135,10.305613759378778,10.488050783934098,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color', 'fuel')"
9803,10.432644132986843,10.099872813672404,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color', 'fuel')"
16843,11.12652741957929,11.212703676980647,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color', 'fuel')"
1227,10.967335848767897,10.83768250076395,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color', 'fuel')"
1761,10.75683848463641,10.742718024382958,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color', 'fuel')"
2174,10.46310334047155,10.329426687198218,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color', 'fuel')"
16793,10.644233711895351,10.615045094722594,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color', 'fuel')"
10923,10.621205387030278,10.594232855202833,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color', 'fuel')"
4467,10.04107321548869,9.981589574455247,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color', 'fuel')"
