,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_epsilon,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,make,model
0,0.008035421371459961,0.002758694422019509,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.007258447714637545,-0.010203743362182886,-0.009529733042670876,-0.013313608869943577,-0.007874759707698928,-0.009636058539426763,0.002126647804011424,1,-0.005170011164809484,-0.00522383097302144,-0.005158647421013002,-0.005246567798203697,-0.004990441280984279,-0.00515789972760638,8.988718837195179e-05,Audi,Q5
0,0.009813785552978516,0.0056435353448029985,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.014639117715027622,-0.013696415592894943,-0.003000910091573353,-0.013129043705296545,-0.018285096054605335,-0.01255011663187956,0.005100792446635499,1,-0.008660668378623849,-0.008582473443232883,-0.010378396998221934,-0.007892116302617833,-0.007427131707416213,-0.008588157366022541,0.0010042611051426793,Bmw,1 Series
0,0.007010078430175782,0.00405685418623847,0.0020021438598632813,0.004004287719726563,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.48914350694838776,-0.018259168126349423,-0.015810959300509592,-0.020197851590390954,-0.24867414293041895,-0.15841712577921135,0.18794233579199218,1,-0.06625221566806559,-0.15345551117725909,-0.14580784019831655,-0.15546643206678137,-0.12282038204906902,-0.12876047623189832,0.033335365016233846,Bmw,3 Series
0,0.0058078765869140625,0.0035477870650871095,0.0002010822296142578,0.0004021644592285156,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-1.4549430275361022,-0.024516073411122028,-0.09981699102662275,-0.08568206921603773,-0.03390035920904753,-0.3397717040797864,0.5583350749867433,1,-0.010013340905289485,-0.0323384195047293,-0.024234918609132343,-0.022105207839591717,-0.03312287195787228,-0.024362951763323027,0.00838295197886515,Bmw,7 Series
0,0.007809829711914062,0.005677291513500162,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.017821640149471976,-0.018291396382833884,-0.026029476395579405,-0.019591702755141216,-0.01953130272792571,-0.020253103682190438,0.0029693514432330907,1,-0.013167417092394593,-0.01317698100191199,-0.012064861306596286,-0.01445750263777974,-0.014727211155932729,-0.013518794638923068,0.0009690890633168067,Bmw,X5
0,0.008527994155883789,0.005238133541902418,0.0001018524169921875,0.000203704833984375,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.03747266224503168,-0.3770506517324766,-0.02094090694091313,-0.028608728275107582,-0.01846289900265402,-0.0965071696392366,0.14042869007816225,1,-0.01273451481535431,-0.011288912476431838,-0.01575874661208012,-0.011307003358275277,-0.013138387943573639,-0.012845513041143036,0.0016355453840094982,Citroen,Grand C4 Picasso
0,0.008752727508544922,0.0031031003505794046,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.020910344156054125,-0.0033598919610785738,-0.043537394788312284,-0.5512951783112199,-0.003357177925690047,-0.12449199742847097,0.21391138037320054,1,-0.0043303667658715055,-0.007950570560545442,-0.006474113959096654,-0.008048932537789889,-0.007775153477996657,-0.006915827460260029,0.0014122874653843887,Fiat,500
0,0.007607364654541015,0.003882467235597099,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.0067108062264642655,-0.010730844704616282,-0.017677103894258552,-0.009056313034678269,-0.012297847139565625,-0.0112945829999166,0.003690034544888015,1,-0.011899030729124552,-0.010893587488685482,-0.009431200045117558,-0.011426518928423094,-0.01067010338338917,-0.01086408811494797,0.0008341586353177812,Ford,Focus
0,0.006407785415649414,0.003669632199587876,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.46209696335432193,-0.015154157062295243,-0.021910186965948247,-0.019525750773797666,-0.031098377474545236,-0.10995708712618166,0.17614702227905712,1,-0.01132607401658149,-0.093352111994228,-0.09292318340562156,-0.08275365334733864,-0.08332745850471274,-0.07273649625369648,0.031036294326200902,Ford,Mondeo
0,0.006808757781982422,0.005158697478275679,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.010602798230412172,-0.0256691313648369,-0.012655455818899663,-0.014107371893614823,-0.010906774187151632,-0.014788306298983039,0.005585514233725843,1,-0.010060557693519196,-0.0074894248501580956,-0.010883043908747543,-0.010739262774327508,-0.009959302260276663,-0.0098263182974058,0.001223418199020196,Ford,Ranger
