,true,predict,make,model,score,alpha,epsilon,max_iter,features
164,10.75683848463641,10.838543818142071,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
6815,11.14836234818249,11.16303560032428,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
4120,9.254357257392957,9.382825754022374,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
11898,10.307284603543595,10.192853791531777,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
5998,9.952230096524119,10.090881587370673,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
11135,10.305613759378778,10.488050783934098,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
9803,10.432644132986843,10.099872813672404,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
16843,11.12652741957929,11.212703676980647,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
1227,10.967335848767897,10.83768250076395,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
1761,10.75683848463641,10.742718024382958,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
2174,10.46310334047155,10.329426687198218,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
16793,10.644233711895351,10.615045094722594,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
10923,10.621205387030278,10.594232855202833,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
4467,10.04107321548869,9.981589574455247,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
9613,10.75577295443437,10.868952037902096,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
6893,9.851931065621725,9.807239727388282,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
14891,10.489884363149192,10.140184572827367,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
5118,10.667791927412402,10.817944767989117,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
15942,10.667791927412402,10.708805916742278,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
1420,11.212927866795798,11.133688073660545,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
7225,10.04107321548869,10.17564397632352,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
7867,9.612466578818832,10.240606638921584,Audi,Q5,-0.03761044599434706,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
6520,9.903487552536127,9.901858013738847,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
13473,10.085600754292345,9.932359205504856,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
13915,9.612466578818832,9.596062884309786,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
17130,10.16199824768763,10.250271294331096,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
15009,10.043032079974024,9.998837940143618,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
5727,9.67721410821299,9.548056252616677,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
3655,9.612466578818832,9.53297496540227,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
1023,9.578449693540579,9.562953278965605,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
12729,9.67721410821299,9.73293434878815,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
1775,9.543234787249512,9.627627836596336,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
2073,9.648272670221848,9.688973963158894,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
4055,9.996522418503318,10.21702691713648,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
3729,9.543234787249512,9.533097254027247,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
12817,9.67721410821299,9.76360164338909,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
1337,9.205327830152639,9.06953819796137,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
6759,8.817297783866575,9.286252152760156,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
16782,10.126231023828998,10.199270851048725,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
9632,9.740674462130217,9.842861221967498,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
7515,8.00469951054955,8.552238413636722,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
9808,9.851931065621725,9.911417108204267,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
4534,9.543234787249512,9.579980084112968,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
76,9.605755144230846,9.55504822819542,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
10067,9.235032984566555,9.340131738724017,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
3207,9.85214162518454,9.5740499081564,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
8722,9.578103612900335,9.683263824219122,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
6027,9.350102314351341,9.437662198141155,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
1890,9.468851067127684,9.544649819142355,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
8398,9.90098442231801,9.945693099322796,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
12833,9.67721410821299,9.80683562107352,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
15010,9.851931065621725,9.717876666441072,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
14312,9.099408811268901,9.253476325403769,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
5405,9.612466578818832,9.384646074038246,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
15011,10.775429243836092,10.686916148385519,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
13605,10.714306651468048,10.895721327909484,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
14369,9.811920359010637,9.87006098337579,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
5419,9.795345393916424,9.759352411109502,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
813,9.539644119118783,9.719921756963357,Bmw,1 Series,-0.025314667144722126,1,1.35,600,"('owners', 'nct_remaining', 'tax', 'color')"
