,true,predict,make,model,score,alpha,epsilon,max_iter,features
164,10.75683848463641,10.84173371768009,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
6815,11.14836234818249,11.204477494176048,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
4120,9.254357257392957,9.360987726729611,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
11898,10.307284603543595,10.27747084410673,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
5998,9.952230096524119,10.061735202420289,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
11135,10.305613759378778,10.604086869445888,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
9803,10.432644132986843,10.152639846937705,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
16843,11.12652741957929,11.163931560302977,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
1227,10.967335848767897,11.00306680198197,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
1761,10.75683848463641,10.749697066586037,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
2174,10.46310334047155,10.38397667162951,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
16793,10.644233711895351,10.613247861127222,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
10923,10.621205387030278,10.602940366680595,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
4467,10.04107321548869,10.013418647368619,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
9613,10.75577295443437,10.87447690089535,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
6893,9.851931065621725,9.838986924990367,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
14891,10.489884363149192,10.179029609182127,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
5118,10.667791927412402,10.855913177327931,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
15942,10.667791927412402,10.724690235315807,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
1420,11.212927866795798,11.20451291965226,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
7225,10.04107321548869,10.126912937843965,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
7867,9.612466578818832,10.080369649754923,Audi,Q5,-0.026774078800464538,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
6520,9.903487552536127,9.871918714365426,Bmw,1 Series,-0.02257013334260007,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
13473,10.085600754292345,9.92734049941425,Bmw,1 Series,-0.02257013334260007,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
13915,9.612466578818832,9.632181482214387,Bmw,1 Series,-0.02257013334260007,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
17130,10.16199824768763,10.241840218842546,Bmw,1 Series,-0.02257013334260007,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
15009,10.043032079974024,10.02588867814125,Bmw,1 Series,-0.02257013334260007,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
5727,9.67721410821299,9.550248800134623,Bmw,1 Series,-0.02257013334260007,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
3655,9.612466578818832,9.540594162254092,Bmw,1 Series,-0.02257013334260007,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
1023,9.578449693540579,9.525969648976991,Bmw,1 Series,-0.02257013334260007,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
12729,9.67721410821299,9.750902773211385,Bmw,1 Series,-0.02257013334260007,1,1.35,600,"('mpg', 'owners', 'nct_remaining', 'tax', 'fuel')"
