,true,predict,make,model,score,alpha,epsilon,max_iter,features
164,10.75683848463641,10.823426787407323,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
6815,11.14836234818249,11.212921173895111,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
4120,9.254357257392957,9.38514550616427,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
11898,10.307284603543595,10.267484522404946,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
5998,9.952230096524119,10.10467461589377,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
11135,10.305613759378778,10.539487849596043,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
9803,10.432644132986843,10.478748510316898,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
16843,11.12652741957929,11.145425665122424,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
1227,10.967335848767897,10.840355636030013,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
1761,10.75683848463641,10.696918251247467,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
2174,10.46310334047155,10.37797896914035,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
16793,10.644233711895351,10.57487694902203,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
10923,10.621205387030278,10.568164465451385,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
4467,10.04107321548869,10.087265969924673,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
9613,10.75577295443437,10.849253915104647,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
6893,9.851931065621725,9.857846112535906,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
14891,10.489884363149192,10.195718095112513,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
5118,10.667791927412402,10.796572656449204,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
15942,10.667791927412402,10.777475056706495,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
1420,11.212927866795798,11.241759639973012,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
7225,10.04107321548869,10.219067577437066,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
7867,9.612466578818832,10.242778842624958,Audi,Q5,-0.03173444651092206,1,1.35,600,"('mpg', 'body', 'color')"
6520,9.903487552536127,9.844152342432828,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
13473,10.085600754292345,9.937916359197766,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
13915,9.612466578818832,9.587389440519685,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
17130,10.16199824768763,10.197986353428835,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
15009,10.043032079974024,10.017374639412997,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
5727,9.67721410821299,9.525934491737603,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
3655,9.612466578818832,9.508089340325974,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
1023,9.578449693540579,9.598064937481782,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
12729,9.67721410821299,9.71910743724995,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
1775,9.543234787249512,9.6353726252139,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
2073,9.648272670221848,9.660291916219535,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
4055,9.996522418503318,10.178096294705485,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
3729,9.543234787249512,9.561250384818983,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
12817,9.67721410821299,9.75305017898856,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
1337,9.205327830152639,9.071326230558075,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
6759,8.817297783866575,9.309612931198773,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
16782,10.126231023828998,10.184905142471143,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
9632,9.740674462130217,9.825720308043081,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
7515,8.00469951054955,8.651644564395824,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
9808,9.851931065621725,9.937276626030872,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
4534,9.543234787249512,9.581469554701119,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
76,9.605755144230846,9.57010863614184,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
10067,9.235032984566555,9.327039820670604,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
3207,9.85214162518454,9.5645698012378,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
8722,9.578103612900335,9.682296339789412,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
6027,9.350102314351341,9.37091675653583,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
1890,9.468851067127684,9.576293280349713,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
8398,9.90098442231801,9.910830945533911,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
12833,9.67721410821299,9.799285436980233,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
15010,9.851931065621725,9.728082193754984,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
14312,9.099408811268901,9.25552244813435,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
5405,9.612466578818832,9.361110063315117,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
15011,10.775429243836092,10.652281271961103,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
13605,10.714306651468048,10.8602523787229,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
14369,9.811920359010637,9.88452795231017,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
5419,9.795345393916424,9.76420802118332,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
813,9.539644119118783,9.692154051108856,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
17398,9.60911649193355,9.679953486338528,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
8581,9.849559210510572,9.84361318946928,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
8099,9.413281215972873,9.361592870141173,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
6876,9.792555991828847,10.140375109835901,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
9770,9.735068900911164,9.772538041552707,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
2523,9.735068900911164,9.704478919831528,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
5899,10.1226230824528,10.040154619413576,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
1221,9.90323752128092,9.951384731517127,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
4512,9.546455401949554,9.41678478393792,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
474,9.539644119118783,9.543448925224556,Bmw,1 Series,-0.026934345281953997,1,1.35,600,"('mpg', 'body', 'color')"
1383,9.82822506803558,9.861940075662055,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
4024,9.612466578818832,8.422620347196144,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
12700,10.083723602839061,9.625621597696982,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
6001,10.630432112679363,10.59947494362681,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
12660,9.90098442231801,9.672311907919237,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
12954,9.90098442231801,10.41530760963889,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
11654,10.163926888594034,10.061094892185032,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
11671,10.798554647958657,10.667278524295405,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
6551,10.083723602839061,9.975072197068165,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
3841,10.203406942652387,10.248915661354049,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
16487,8.83927669058535,8.788521055923542,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
5430,11.050096039472493,11.479498463953597,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
11444,9.878169744551839,9.947220853249986,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
10147,10.238172478583245,12.077597763651962,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
8036,10.262908722142885,10.396935818441126,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
826,9.392245175273795,11.343159229978637,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
6845,10.461673747661957,10.256817950310118,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
7937,9.38429367909962,9.614994374454158,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
16005,10.667791927412402,10.650496638641027,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
10894,9.798071479779479,10.10521452844624,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
16051,9.67721410821299,9.583248127645367,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
2175,10.238172478583245,10.263175983263023,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
10229,10.124629101179664,10.037131898621258,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
8826,9.98736903651683,10.134876212436126,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
8506,9.849559210510572,9.766309348011966,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
8751,9.468851067127684,9.353932103381336,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
7076,11.002016504398489,10.903015035607435,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
4589,10.712193073730345,10.557335008200614,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
13190,10.165659490817816,10.167435927965531,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
2634,9.461099090323366,9.597935951897071,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
16044,10.691922185369403,10.502440267792238,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
10576,10.271596874100524,10.354741751926326,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
1088,9.949893925350283,9.577060078983017,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
11526,10.083723602839061,9.899569270131993,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
5737,9.104424146384634,8.733708645901952,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
4917,10.081633737919603,10.078851032862715,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
7946,10.307284603543595,10.171698586829994,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
15307,10.126591103050316,10.286205157500106,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
12086,10.305613759378778,10.257671263673458,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
12697,10.596509725282923,10.388717370569182,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
8361,9.996522418503318,10.201928597132213,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
10885,9.735068900911164,9.642760816942905,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
14367,10.12643108384767,10.273734303190487,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
12393,10.124629101179664,10.321382206378393,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
16932,9.528794103094718,9.69969088873227,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
4060,9.632334782035558,10.398029318510215,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
10891,9.07680897935166,9.01990343653344,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
5429,10.858036996527373,10.954886781835254,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
12414,9.205327830152639,9.22021453430923,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
961,9.259130536145614,9.251627207541723,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
11241,9.795345393916424,10.108292590229086,Bmw,3 Series,-0.1519238751952869,1,1.35,600,"('mpg', 'body', 'color')"
