,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_epsilon,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,make,model
0,0.007148885726928711,0.0008574571854086465,0.0005168437957763672,1.5706266120099334e-05,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.011605419085180034,-0.012095537538973324,-0.010506215158203297,-0.045929435124630255,-0.008197245069576104,-0.0176667703953126,0.014195085727424648,1,-0.0065990942177703545,-0.0067883357332264175,-0.007195257013197998,-0.00767456094404138,-0.007332192926097755,-0.007117888166866782,0.00038459043596956544,Audi,Q5
0,0.008744192123413087,0.0026129768931862462,0.0004204750061035156,0.00021070449354615653,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.014673728436016546,-0.013867730010873807,-0.0030385025030875454,-0.011997716642306474,-0.018500657336323115,-0.012415666985721496,0.005144712476575736,1,-0.008341343634506044,-0.00834934677320298,-0.010066250738820002,-0.007892035633161413,-0.007124845809469772,-0.008354764517832042,0.000965009078359971,Bmw,1 Series
0,0.011444473266601562,0.0026652157436171404,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.4891569692042507,-0.018159311723493617,-0.01634838989600039,-0.020637254253022357,-0.25160217731602585,-0.15918082047855858,0.1881002152192731,1,-0.0662587876876323,-0.15429468444281252,-0.1462226395293715,-0.15498700261715753,-0.12336826746664345,-0.12902627634872346,0.03340639866841273,Bmw,3 Series
0,0.005592966079711914,0.0019567829679540054,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-1.804652216573906,-0.02766353007327007,-0.11420670471153492,-0.10260976524214939,-0.07130311431714816,-0.4240870661836017,0.6909329583390267,1,-0.008359479433474488,-0.03091638841118991,-0.025252399908497754,-0.024447830763527148,-0.034773245716962733,-0.02474986884673041,0.00902754315427501,Bmw,7 Series
0,0.006391477584838867,0.001956860684078724,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.01679793540288145,-0.015952796145738978,-0.030149663912571945,-0.021764731199798173,-0.016585575973633377,-0.020250140526924785,0.005368583993634639,1,-0.012538937378572111,-0.012355344730270912,-0.01023567169109373,-0.013080043208507974,-0.014496255597684467,-0.012541250521225839,0.00137568909747374,Bmw,X5
0,0.006391572952270508,0.001956938584180519,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.03256958826370966,-0.30680191657376193,-0.012451662461705353,-0.030927578525095867,-0.00970442602512957,-0.07849103436988047,0.11453359036256203,1,-0.011015403258550984,-0.01024456044633872,-0.01370446070468397,-0.010183163591449542,-0.013069341465078842,-0.011643385893220412,0.0014672902004881506,Citroen,Grand C4 Picasso
0,0.007989168167114258,0.0025266983834925294,0.0007990360260009766,0.0015980720520019534,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.02426272619455794,-0.00419434663218166,-0.05145548468771691,-0.8495507210362877,-0.00416033053278231,-0.1867247218167053,0.3318665595103849,1,-0.0048805475783238,-0.008882588306205457,-0.007239069531903211,-0.00905883951549703,-0.008585283960117632,-0.007729265778409426,0.0015611645682936707,Fiat,500
0,0.007112836837768555,0.002972260764647472,0.0007989406585693359,0.0015978813171386719,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.006909310884079858,-0.010961674045392332,-0.0175820298749823,-0.00926624330246171,-0.012541590233405625,-0.011452169668064366,0.0035893857214700934,1,-0.011846631637331604,-0.010826860540441895,-0.009461939229723944,-0.011330238550649277,-0.010730483895720096,-0.010839230770773364,0.0007955948768461947,Ford,Focus
0,0.006023120880126953,0.0007470990857959862,0.00030570030212402345,0.0002496034336608432,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.4422595924048828,-0.01744877594305182,-0.021369599004634136,-0.023299554724166758,-0.0381721866190844,-0.10850994173916398,0.16702252208496052,1,-0.011256701302383567,-0.08404444397838033,-0.09204691190824904,-0.07578293282384155,-0.07241021468218696,-0.06710824093900827,0.02874553171452738,Ford,Mondeo
0,0.009819698333740235,0.0007566651106567273,0.0003060340881347656,0.0002498760292617359,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.011421015261517784,-0.029214544755596067,-0.014868212407219892,-0.016622807141655364,-0.010768092661778266,-0.016578934445553476,0.006677681561114895,1,-0.010283620499734778,-0.007557278491157789,-0.010981564759717911,-0.010989684777727705,-0.01010458679108871,-0.009983347063885378,0.0012648973151904654,Ford,Ranger
