,id,make,model,true,predict,score,max_depth,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
2621,3101133,Bmw,5 Series,9.047821442478408,9.180898969252505,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
3789,3107440,Mercedes-benz,C Class,10.303940118820748,10.134138691125292,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15178,3166028,Hyundai,i30,9.769670404801788,9.676365341129982,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
13949,3163922,Dacia,Duster,10.286707051696972,10.301706944335752,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
14036,3164095,Volkswagen,Golf,10.124629101179664,9.989525994077962,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
16447,3168123,Volkswagen,Passat,10.404111313817522,10.090712939923076,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15703,3166957,Volkswagen,Passat,9.388486557359657,9.727636564066378,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
4204,3109701,Kia,Sorento,10.981897133886719,10.682340122408167,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15863,3167196,Nissan,Note,9.612466578818832,9.586200397391773,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
16267,3167839,Audi,A3,9.878169744551839,9.622593512455886,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
12209,3160495,Mazda,Mazda3,9.47231994707559,9.59382894962418,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15329,3166430,Kia,Rio,9.993785190516908,9.989165421320882,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15289,3166235,Nissan,Qashqai,9.996522418503318,10.080463848948737,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
12289,3160603,Nissan,Micra,9.79784922051313,9.900342447066661,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
4590,3133067,Kia,Ceed,8.400659375160286,8.959871851729837,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15193,3166050,Volkswagen,Tiguan,10.75683848463641,10.68599224212991,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
3788,3107439,Hyundai,Tucson,10.12643108384767,10.152477474077452,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
236,3085795,Audi,A3,9.964112174352563,9.873668992909565,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
7234,3140938,Nissan,Micra,9.952039593118293,9.892472980032176,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
7851,3150856,Volkswagen,Passat,10.643041105910228,10.227851406817496,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
17133,3169229,Renault,Megane,8.354674261918463,8.940565907872704,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
10248,3156297,Toyota,Rav4,10.644233711895351,10.59788872133462,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
6959,3140145,Volkswagen,Tiguan,10.402746539930654,10.334330097284433,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
6203,3137845,Volkswagen,up!,9.205327830152639,9.391781244728561,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
3892,3107881,Kia,Sportage,10.201738576337144,9.855634536827084,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
10283,3156429,Hyundai,Tucson,9.996522418503318,10.080977272170546,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
2853,3102429,Honda,HR-V,9.996522418503318,10.162523070715674,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
841,3089986,Hyundai,Tucson,9.903437551286085,10.077065179061528,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
17097,3169168,Volkswagen,Passat,10.238172478583245,10.245363012685045,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
7863,3150886,Nissan,Qashqai,10.18282238350008,9.871848440594563,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
9847,3155499,Peugeot,2008,10.595383951194421,10.377012611288793,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
9965,3155721,Hyundai,Tucson,9.998797732340453,10.07133629365148,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
8871,3153217,Toyota,Rav4,9.61547209118311,9.489593070152,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
11971,3160035,Skoda,Octavia,10.06475570013225,10.032578845525547,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
10790,3157450,Audi,A5,10.404111313817522,10.12350238458488,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
2978,3103040,Kia,Ceed,9.433083843269053,9.213594702768349,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
1038,3091331,Ford,Focus,10.04107321548869,9.890960921622437,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
3083,3103537,Mercedes-benz,C Class,10.232755327808727,10.42348454167171,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
16318,3167921,Volkswagen,Tiguan,10.461673747661957,10.297140904804229,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15705,3166961,Opel,Astra,8.852950887099581,9.059944432228313,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
11699,3159526,Renault,Clio,9.209840246934501,9.232113752113221,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
4653,3133222,Ford,Mondeo,9.612466578818832,9.356672421947097,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
16482,3168166,Opel,Corsa,10.021270588192511,10.030987208749178,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
7024,3140310,Skoda,Octavia,9.877913301416697,9.674753540591746,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
17348,3169558,Volkswagen,Polo,9.205327830152639,9.374724658244336,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
14434,3164773,Skoda,Fabia,9.539644119118783,9.616422388778718,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
2712,3101678,Ford,Focus,10.363030408174957,10.145930478267212,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
3827,3107655,Hyundai,Tucson,9.740733301234702,9.763202316549764,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15381,3166358,Toyota,C-HR,10.275051108968611,10.382624204153089,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15895,3167241,Skoda,Fabia,9.708080756193517,9.603706779195125,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
13599,3163239,Volkswagen,Passat,10.236381967809457,9.879478553192056,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
9752,3155286,Ford,Kuga,10.146433731146518,10.118117976078302,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
10193,3156178,Volkswagen,Golf,9.79784922051313,9.691562512369485,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15713,3166972,Nissan,Note,8.955448122347393,9.336588471221816,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15564,3166734,Ford,Fiesta,9.849559210510572,9.840981838430807,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
3870,3107823,Ford,Fiesta,9.099408811268901,9.153539325507177,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
1967,3097562,Peugeot,208,9.164296433474776,9.444913361656598,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
14901,3165540,Peugeot,3008,10.221941283654663,10.20511906989064,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15351,3166311,Peugeot,3008,10.595383951194421,10.432336091429974,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
12923,3161884,Peugeot,Partner,9.543234787249512,9.781073300121305,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
65,3084780,Audi,A3,9.738023112808596,9.678535609718892,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
632,3088501,Skoda,Superb,9.67721410821299,9.446500784851517,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
