,id,make,model,true,predict,score,ccp_alpha,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.176487577925764,-0.02739860011932292,0,6,0.7,12,0,9,6,0,600,58,0.009792804382151625
985,3091054,Skoda,Octavia,9.90323752128092,10.021129130604107,-0.02739860011932292,0,6,0.7,12,0,9,6,0,600,58,0.009792804382151625
13867,3163703,Volkswagen,Polo,9.392578591964389,9.361994384423918,-0.02739860011932292,0,6,0.7,12,0,9,6,0,600,58,0.009792804382151625
12631,3161229,Peugeot,5008,10.757796492054402,10.686535100921189,-0.02739860011932292,0,6,0.7,12,0,9,6,0,600,58,0.009792804382151625
15533,3166672,Renault,Clio,9.792555991828847,9.872902737760736,-0.02739860011932292,0,6,0.7,12,0,9,6,0,600,58,0.009792804382151625
925,3090679,Skoda,Superb,10.04107321548869,10.075290907212816,-0.02739860011932292,0,6,0.7,12,0,9,6,0,600,58,0.009792804382151625
1347,3093470,Nissan,Qashqai,9.925738161470948,9.796139112447348,-0.02739860011932292,0,6,0.7,12,0,9,6,0,600,58,0.009792804382151625
9298,3154262,Mazda,Demio,9.099408811268901,8.924887983449405,-0.02739860011932292,0,6,0.7,12,0,9,6,0,600,58,0.009792804382151625
11345,3158790,Audi,A1,9.468851067127684,9.318667189237063,-0.02739860011932292,0,6,0.7,12,0,9,6,0,600,58,0.009792804382151625
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.629464687228934,-0.02739860011932292,0,6,0.7,12,0,9,6,0,600,58,0.009792804382151625
2006,3097851,Dacia,Sandero,8.954802752850968,9.081421537255679,-0.02739860011932292,0,6,0.7,12,0,9,6,0,600,58,0.009792804382151625
14465,3164845,Bmw,X1,10.517320926376348,10.349882106056027,-0.02739860011932292,0,6,0.7,12,0,9,6,0,600,58,0.009792804382151625
3266,3104483,Bmw,5 Series,10.48849257447637,10.53511369562044,-0.02739860011932292,0,6,0.7,12,0,9,6,0,600,58,0.009792804382151625
2193,3098855,Peugeot,Partner,9.185022563991893,9.393613106333628,-0.02739860011932292,0,6,0.7,12,0,9,6,0,600,58,0.009792804382151625
5776,3136612,Ford,Fiesta,9.301094735244646,9.440149921849372,-0.02739860011932292,0,6,0.7,12,0,9,6,0,600,58,0.009792804382151625
