,id,make,model,true,predict,score,ccp_alpha,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.139470039580914,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
985,3091054,Skoda,Octavia,9.90323752128092,9.910597345308984,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
13867,3163703,Volkswagen,Polo,9.392578591964389,9.427406718004605,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
12631,3161229,Peugeot,5008,10.757796492054402,10.618467336937778,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
15533,3166672,Renault,Clio,9.792555991828847,9.789435739756575,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
925,3090679,Skoda,Superb,10.04107321548869,10.128993437525503,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
1347,3093470,Nissan,Qashqai,9.925738161470948,9.782461798267315,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
9298,3154262,Mazda,Demio,9.099408811268901,8.921614507151927,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
11345,3158790,Audi,A1,9.468851067127684,9.425484094727052,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.572389638516123,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
2006,3097851,Dacia,Sandero,8.954802752850968,9.050403363624469,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
14465,3164845,Bmw,X1,10.517320926376348,10.33008092628967,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
3266,3104483,Bmw,5 Series,10.48849257447637,10.518505415448939,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
2193,3098855,Peugeot,Partner,9.185022563991893,9.33111849652867,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
5776,3136612,Ford,Fiesta,9.301094735244646,9.455207590648984,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
1431,3093985,Toyota,Yaris,9.383452989684827,9.503345681430908,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
4555,3132977,Volkswagen,Caddy,9.047821442478408,9.112075336398782,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
15799,3167103,Volkswagen,Touran,9.708080756193517,9.64628320718194,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
13838,3163654,Bmw,5 Series,10.184522582266116,10.219405059909716,-0.02729680740175983,0,6,0.7,12,0,9,6,0,600,58,0.009591780332650129
