,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_epsilon,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,make,model
0,0.006069660186767578,0.004560716773251911,0.0020260334014892576,0.0029538552289538325,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.012966674668258212,-0.029734438961527315,-0.0169522769498749,-0.8727415624865562,-0.00893547923130414,-0.18826608645950416,0.34230884660866584,1,-0.008664328489089839,-0.0072336313184486216,-0.007901067838237645,-0.0056158757152792215,-0.009186880796557858,-0.0077203568315226375,0.0012442004655169555,Audi,Q5
0,0.01293196678161621,0.007028119776427413,0.0011011123657226562,0.0022022247314453123,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.015304595888944911,-0.014515209746120784,-0.004024724707203413,-0.18808659719688134,-0.018647048388915823,-0.04811563518561325,0.07015672325645189,1,-0.008257175397564983,-0.007646085275741216,-0.009409099567080685,-0.007066205248416027,-0.006765783054920182,-0.007828869708744619,0.000940828637934563,Bmw,1 Series
0,0.010823202133178712,0.0027263963597558877,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.3753346170265518,-0.04729957407485974,-9.551197594011933,-0.03286753921816977,-4.49796606966612,-2.9009330787995267,3.728919527287788,1,-0.021304888024084926,-0.08345509548108793,-0.11013198165226301,-0.10819759965832705,-0.12115744746690903,-0.08884940245653439,0.03595127442034576,Bmw,3 Series
0,0.008008956909179688,0.00473808286437769,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-8.361817955691388,-0.018369857612113256,-0.14968686983749876,-0.13905171074621195,-0.049124816504353984,-1.7436102420783133,3.3094896397858506,1,-0.01140445649531935,-0.05956073184263802,-0.036037460255162246,-0.027547872341237515,-0.0571826491056072,-0.03834663400799286,0.01818053837363464,Bmw,7 Series
0,0.012011432647705078,0.005219757582384387,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.07499710853966256,-0.012573163885349826,-0.05359710243300238,-4.0310313116921925,-5.315079049440853,-1.8974555471982122,2.3024441912806592,1,-0.017203872270116154,-0.030426651265015637,-0.025695264307132582,-0.017118418962250866,-0.019867289390302443,-0.022062299238963533,0.005215844189391966,Bmw,X5
0,0.010039186477661133,0.004392895355773266,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.5403706686121478,-1.9989531792780835,-1.1823200726225267,-0.033482136391114914,-1.1566096044471867,-0.9823471322702119,0.663254463343848,1,-0.00575527096850103,-0.005882880863995036,-0.019415876198767126,-0.020975275972304086,-0.008164225561736639,-0.012038705913060783,0.006733086373693556,Citroen,Grand C4 Picasso
0,0.008128499984741211,0.004427410588389984,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.2288793378235344,-10.108633204787829,-2.789093226611045,-7.612584097975859,-0.02725025233101557,-4.153288023905857,4.042748179749937,1,-0.08715392164024063,-0.06118183862387194,-0.015325685722673942,-0.007819111110908895,-0.1432358209119955,-0.06294327560193817,0.04968351688624938,Fiat,500
0,0.008336973190307618,0.004207179793905001,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.007548415235809677,-0.011808196656287672,-0.017679860667358598,-0.009582315559149967,-0.011883627721785313,-0.011700483168078245,0.003391884477268673,1,-0.011678430799424797,-0.010468586837481487,-0.00933265113317591,-0.011123437174559334,-0.01072081862002423,-0.010664784912933151,0.0007815438245687655,Ford,Focus
0,0.006008958816528321,0.005385080584481386,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-4.246721916449396,-0.023189516804155028,-0.036158095391519894,-0.015257010208962208,-0.024465960234258403,-0.8691584998176586,1.6887948997878857,1,-0.013209060863226306,-0.06707993198673526,-0.07117543339938077,-0.0642796733324195,-0.06049483879455201,-0.05524778767526277,0.021307513197320552,Ford,Mondeo
0,0.00891408920288086,0.004669054244069034,0.002002382278442383,0.004004764556884766,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.16593247588187493,-0.019702751653032518,-0.05591414570577169,-0.017320083537573507,-0.011960936431083875,-0.0541660786418673,0.05800242336638795,1,-0.005051932139793593,-0.0050037415132393875,-0.004903602889128183,-0.003967082578317595,-0.004630636560771129,-0.004711399136249977,0.00039972460682750265,Ford,Ranger
0,0.013410091400146484,0.003695418926332249,0.00020360946655273438,0.0002493698322859118,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.8894021848637189,-0.32599892871993413,-0.11074306005639821,-0.885935181437815,-0.015262420217444929,-0.44546835505906224,0.3748277961151149,1,-0.009719065467100059,-0.004733231817013853,-0.005862700742032752,-0.005378972811306027,-0.010737312101457515,-0.007286256587782041,0.0024499192367051616,Ford,S-Max
0,0.010024309158325195,0.0006372300922351591,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.03281661175457844,-0.2367013392297843,-0.094959644406463,-0.057884155760436776,-0.015463434250900496,-0.0875650370804326,0.07921275498108724,1,-0.04021299361278198,-0.03086607370824699,-0.03530668963632842,-0.0382041321419019,-0.04996106927538962,-0.03891019167492978,0.006356268866212457,Ford,Transit
0,0.008129215240478516,0.002548141984290779,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.031554947439744706,-0.07632439866750969,-0.03701880186032005,-0.16920588492722224,-0.025759590836545526,-0.06797272474626845,0.0536362782041528,1,-0.019637457778767412,-0.012900553346398618,-0.02051709353719598,-0.023729503843241975,-0.022342084038004386,-0.019825338508721674,0.0037428061331271677,Ford,Transit Connect
0,0.006031656265258789,0.004211758797158431,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.04032238748879327,-0.04545302982931961,-0.9228797801359817,-0.038287254828802034,-0.03562096253601507,-0.21651268296378232,0.35319824995906773,1,-0.020157626479398987,-0.016856407458940355,-0.01744540514528615,-0.017568936046525062,-0.02034974577304667,-0.018475624180639444,0.0014728720855075928,Ford,Transit Custom
0,0.006117343902587891,0.004997785791038122,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.06156623032514016,-1.1596346412008227,-0.018037814798771264,-0.021184650590424223,-0.21652610134089836,-0.2953898876512113,0.43816085582846737,1,-0.24910898362012088,-0.038067720861823175,-0.28219783647841234,-0.2927653080705968,-0.2991332423445591,-0.23225461827510246,0.09861160148748471,Honda,Civic
