,id,make,model,true,predict,score,ccp_alpha,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,9.854245854603612,-0.2698304632691794,0,6,0.7,12,0,9,6,0,600,58,0.21777922845221323
985,3091054,Skoda,Octavia,9.90323752128092,9.8815859560928,-0.2698304632691794,0,6,0.7,12,0,9,6,0,600,58,0.21777922845221323
13867,3163703,Volkswagen,Polo,9.392578591964389,9.608575416110009,-0.2698304632691794,0,6,0.7,12,0,9,6,0,600,58,0.21777922845221323
12631,3161229,Peugeot,5008,10.757796492054402,10.140565217958951,-0.2698304632691794,0,6,0.7,12,0,9,6,0,600,58,0.21777922845221323
15533,3166672,Renault,Clio,9.792555991828847,9.643600337208056,-0.2698304632691794,0,6,0.7,12,0,9,6,0,600,58,0.21777922845221323
925,3090679,Skoda,Superb,10.04107321548869,10.307769652220335,-0.2698304632691794,0,6,0.7,12,0,9,6,0,600,58,0.21777922845221323
1347,3093470,Nissan,Qashqai,9.925738161470948,9.763541592148169,-0.2698304632691794,0,6,0.7,12,0,9,6,0,600,58,0.21777922845221323
9298,3154262,Mazda,Demio,9.099408811268901,9.706059901476815,-0.2698304632691794,0,6,0.7,12,0,9,6,0,600,58,0.21777922845221323
11345,3158790,Audi,A1,9.468851067127684,9.638153275701079,-0.2698304632691794,0,6,0.7,12,0,9,6,0,600,58,0.21777922845221323
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.38459908619094,-0.2698304632691794,0,6,0.7,12,0,9,6,0,600,58,0.21777922845221323
2006,3097851,Dacia,Sandero,8.954802752850968,9.479470092870978,-0.2698304632691794,0,6,0.7,12,0,9,6,0,600,58,0.21777922845221323
14465,3164845,Bmw,X1,10.517320926376348,10.358005023080402,-0.2698304632691794,0,6,0.7,12,0,9,6,0,600,58,0.21777922845221323
3266,3104483,Bmw,5 Series,10.48849257447637,10.449954267440368,-0.2698304632691794,0,6,0.7,12,0,9,6,0,600,58,0.21777922845221323
2193,3098855,Peugeot,Partner,9.185022563991893,9.914769085847038,-0.2698304632691794,0,6,0.7,12,0,9,6,0,600,58,0.21777922845221323
5776,3136612,Ford,Fiesta,9.301094735244646,9.562015976672557,-0.2698304632691794,0,6,0.7,12,0,9,6,0,600,58,0.21777922845221323
1431,3093985,Toyota,Yaris,9.383452989684827,9.767899778797677,-0.2698304632691794,0,6,0.7,12,0,9,6,0,600,58,0.21777922845221323
4555,3132977,Volkswagen,Caddy,9.047821442478408,9.688119485708897,-0.2698304632691794,0,6,0.7,12,0,9,6,0,600,58,0.21777922845221323
