,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,62.6329692363739,0.785419663240149,0.014314985275268555,0.002638415922923217,6,12,0,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.028905848311259634,-0.027392105299522358,-0.027867846771886022,-0.024784612914256977,-0.02769518547930706,-0.027329119755246413,0.001370312817919089,1,-0.008157331562080844,-0.008287426615735683,-0.008258733532450501,-0.008203618024779155,-0.008165633722987738,-0.008214548691606784,5.108707376471927e-05
1,19.501068210601808,0.05541778693085135,0.0,0.0,6,12,10,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 12, 'min_impurity_decrease': 10, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.05521613633447848,-0.057980469209496364,-0.05183181525822002,-0.05660647601469472,-0.05803904414424313,-0.055934788192226546,0.002298465394853802,2,-0.05055049207732191,-0.05085212171611469,-0.050161372304359755,-0.05162597080222464,-0.05093269834240337,-0.050824531048484875,0.00048366185810213083
2,18.72874402999878,0.061880175496424376,0.0031242847442626955,0.006248569488525391,6,12,20,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 12, 'min_impurity_decrease': 20, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.06913473499411593,-0.07041453397020782,-0.0658502901337089,-0.07334911573966885,-0.07219198285217003,-0.0701881315379743,0.0026071061198677634,3,-0.06603454492999418,-0.06451007600192131,-0.06595383531159958,-0.06724288383291105,-0.06526722688317464,-0.06580171339192016,0.000906457590715501
3,18.33850383758545,0.03291390340456851,0.003124237060546875,0.00624847412109375,6,12,30,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 12, 'min_impurity_decrease': 30, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.07917720915372323,-0.08343509082675163,-0.07755923170942845,-0.08409570228371716,-0.0836796827741645,-0.08158938334955698,0.0026876878155430717,4,-0.07807750446569092,-0.07860693168471618,-0.07859429869215322,-0.07789020886172045,-0.07744959864558841,-0.07812370846997384,0.00043955449374928987
4,18.04845232963562,0.0617787159279185,0.006253767013549805,0.0076592720160154615,6,12,40,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 12, 'min_impurity_decrease': 40, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.08774165707549471,-0.09270280924761654,-0.08694592406507017,-0.0942902941407805,-0.09364336344504279,-0.09106480959480094,0.003090122782388134,5,-0.08734521415161452,-0.08827922367876608,-0.08784052360017462,-0.08780560487888842,-0.08753656776248218,-0.08776142681438517,0.0003162644999178756
5,17.864015054702758,0.04071061603249554,0.0,0.0,6,12,50,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 12, 'min_impurity_decrease': 50, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.09737314042974622,-0.0998766976645997,-0.09477476660034752,-0.10277917742455712,-0.10188191419362302,-0.09933713926257472,0.0029423516156917985,6,-0.0973809572685972,-0.09520063312540453,-0.09570458306164456,-0.09648054104101543,-0.0966635912659682,-0.096286061152526,0.0007609756488622071
6,17.744868278503418,0.04308848225054637,0.009057855606079102,0.007419989449885426,6,12,60,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 12, 'min_impurity_decrease': 60, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.10266881771319958,-0.1084046821313437,-0.10347535927632491,-0.10772031898523056,-0.10518164165624076,-0.10549016395246788,0.0022619737477373413,7,-0.10288775301578283,-0.1046942242474685,-0.10420987536830036,-0.101811473826913,-0.10082463728112016,-0.10288559274791695,0.001444032265508992
7,17.630906677246095,0.044614298710776705,0.0,0.0,6,12,70,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 12, 'min_impurity_decrease': 70, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.10860842461012586,-0.11437204037017291,-0.11218421339420595,-0.11648839488389044,-0.11759577010152193,-0.11384976867198342,0.003209778954417235,8,-0.10906802996282368,-0.11067324837152735,-0.11281981468291578,-0.1108948466428745,-0.11198915804978249,-0.11108901954198476,0.001272860464709377
8,17.533245420455934,0.07263962405412504,0.006253671646118164,0.0076591598641953295,6,12,80,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 12, 'min_impurity_decrease': 80, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.11593201338277594,-0.1206165196123896,-0.1174622848449059,-0.1206658356037507,-0.12408703823285973,-0.11975273833533637,0.002835846846103911,9,-0.1168796330030851,-0.11742627956301248,-0.1180327375121397,-0.1162321245937477,-0.11922113792661282,-0.11755838251971955,0.0010224363438074901
9,17.42530584335327,0.02573922920220966,0.006245040893554687,0.007648583840863069,6,12,90,9,6,600,"{'max_depth': 6, 'max_leaf_nodes': 12, 'min_impurity_decrease': 90, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 600}",-0.12193704248042267,-0.12832186612429017,-0.12323025212680619,-0.12737475561895675,-0.1301363629957688,-0.12620005586924893,0.0031102903233168385,10,-0.12339797714980018,-0.12482258524031438,-0.12412502546280761,-0.12287090192275578,-0.12485130596588576,-0.12401355914831273,0.0007814568982574127
