,id,make,model,true,predict,score,max_depth,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
17080,3169146,Skoda,Octavia,9.973479924356162,10.118728430756477,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
7932,3151040,Renault,Kadjar,9.67721410821299,9.688517162355973,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
17299,3169482,Toyota,Yaris,9.392661928770137,9.21222490077334,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
593,3088327,Volkswagen,T-Roc,10.659609532257463,10.724168471102358,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
7663,3150378,Bmw,5 Series,10.778852117797637,10.843156005902106,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
170,3085382,Volkswagen,Passat,10.032320424379096,9.942717432396632,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
628,3088493,Volkswagen,Passat,10.032320424379096,10.049425653990257,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
1476,3094293,Renault,Kadjar,10.161612072745584,10.086683586559248,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
17223,3169373,Renault,Clio,9.099408811268901,9.044629173298876,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
6958,3140141,Toyota,Prius,9.811920359010637,9.813830281365465,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
10736,3157347,Hyundai,Tucson,10.43396873396056,10.356017089923789,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
523,3087908,Renault,Megane,9.90323752128092,9.792471975643963,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
5902,3137081,Hyundai,Tucson,9.903337541285003,10.040373250178328,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
2514,3100548,Peugeot,3008,10.203592144986466,10.085895531784136,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
12432,3160888,Suzuki,Swift,9.734477009801846,9.754982609401093,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
8818,3153100,Peugeot,3008,10.475878531960273,10.357943114646435,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
11879,3159854,Ford,Mondeo,9.795345393916424,9.686807505455942,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
2621,3101133,Bmw,5 Series,9.047821442478408,9.028635971726665,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3789,3107440,Mercedes-benz,C Class,10.303940118820748,10.373849036164462,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15178,3166028,Hyundai,i30,9.769670404801788,9.783711603859938,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
13949,3163922,Dacia,Duster,10.286707051696972,10.275828795913931,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
14036,3164095,Volkswagen,Golf,10.124629101179664,9.869921956484665,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
16447,3168123,Volkswagen,Passat,10.404111313817522,10.050989110547938,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15703,3166957,Volkswagen,Passat,9.388486557359657,9.280616223969151,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
4204,3109701,Kia,Sorento,10.981897133886719,10.78743224817891,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15863,3167196,Nissan,Note,9.612466578818832,9.516719572507414,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
16267,3167839,Audi,A3,9.878169744551839,9.802150434778333,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
12209,3160495,Mazda,Mazda3,9.47231994707559,9.662143172265713,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15329,3166430,Kia,Rio,9.993785190516908,9.986203927679666,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15289,3166235,Nissan,Qashqai,9.996522418503318,10.03151005634466,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
12289,3160603,Nissan,Micra,9.79784922051313,9.879986606378608,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
4590,3133067,Kia,Ceed,8.400659375160286,8.612818732346323,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15193,3166050,Volkswagen,Tiguan,10.75683848463641,10.791407637290188,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3788,3107439,Hyundai,Tucson,10.12643108384767,10.163508456837715,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
236,3085795,Audi,A3,9.964112174352563,10.043184010248234,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
