,id,make,model,true,predict,score,ccp_alpha,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.184938679559663,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
985,3091054,Skoda,Octavia,9.90323752128092,9.989514782631371,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
13867,3163703,Volkswagen,Polo,9.392578591964389,9.394600007757626,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
12631,3161229,Peugeot,5008,10.757796492054402,10.680318114676814,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
15533,3166672,Renault,Clio,9.792555991828847,9.794753366620787,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
925,3090679,Skoda,Superb,10.04107321548869,10.092586312465281,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
1347,3093470,Nissan,Qashqai,9.925738161470948,9.809627667715564,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
9298,3154262,Mazda,Demio,9.099408811268901,8.921488462773162,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
11345,3158790,Audi,A1,9.468851067127684,9.340818770094199,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.548770754903313,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
2006,3097851,Dacia,Sandero,8.954802752850968,9.014119187308596,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
14465,3164845,Bmw,X1,10.517320926376348,10.372279456384055,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
3266,3104483,Bmw,5 Series,10.48849257447637,10.522566392397216,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
2193,3098855,Peugeot,Partner,9.185022563991893,9.4535845764154,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
5776,3136612,Ford,Fiesta,9.301094735244646,9.441821494476239,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
1431,3093985,Toyota,Yaris,9.383452989684827,9.533900211932142,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
4555,3132977,Volkswagen,Caddy,9.047821442478408,8.945384311720401,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
15799,3167103,Volkswagen,Touran,9.708080756193517,9.539387066429214,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
13838,3163654,Bmw,5 Series,10.184522582266116,10.173149835131985,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
566,3088210,Nissan,Juke,9.21024036697585,9.455971447337118,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
12298,3160617,Volkswagen,Tiguan,9.648272670221848,9.862952937957326,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
6520,3138750,Bmw,1 Series,9.903487552536127,9.620035977853869,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
2438,3100208,Kia,Sportage,9.74090979777877,9.744102939840326,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
6481,3138649,Audi,A3,9.947504437952903,9.953992464072197,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
10188,3156170,Audi,A3,9.811920359010637,9.768262028766241,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
3980,3108444,Mercedes-benz,C Class,10.543893021838013,10.572167083248765,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
14886,3165522,Kia,Ceed,9.708080756193517,9.653313047489126,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
2605,3101038,Mazda,CX-5,10.084766899751639,10.186760997124122,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
1383,3093634,Bmw,3 Series,9.82822506803558,9.848720957135011,-0.027944134434099262,0,6,0.7,12,0,9,6,0,600,58,0.009790575029833267
