,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,42.46657757759094,0.35808240260674923,0.01632518768310547,0.0014125366171970283,0.0,6,0.7,12,0,9,6,0,600,"{'ccp_alpha': 0.0, 'max_depth': 6, 'max_features': 0.7, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.027769364711435388,-0.02644810330820141,-0.02667219837042832,-0.02492116951988811,-0.02796749077721799,-0.02675566533743424,0.0010920662395989189,1,-0.00846212995380482,-0.008336068110925328,-0.008240170394393202,-0.00855055175188531,-0.008376399139840417,-0.008393063870169814,0.00010627812713796936
1,48.15826907157898,0.3509481743234976,0.003124237060546875,0.00624847412109375,0.1,6,0.7,12,0,9,6,0,600,"{'ccp_alpha': 0.1, 'max_depth': 6, 'max_features': 0.7, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.327224219105111,-0.32321538493455365,-0.3260193283104379,-0.33661997518100056,-0.3453137387915626,-0.3316785292645331,0.008171035099381161,2,-0.33272653906450067,-0.33372280662912357,-0.33301810855329783,-0.3303676028860902,-0.3282193169845784,-0.33161087482351814,0.002036352577803463
2,48.335488653182985,0.5233837336677126,0.007553815841674805,0.006710218569626035,0.2,6,0.7,12,0,9,6,0,600,"{'ccp_alpha': 0.2, 'max_depth': 6, 'max_features': 0.7, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.327224219105111,-0.32321538493455365,-0.3260193283104379,-0.33661997518100056,-0.3453137387915626,-0.3316785292645331,0.008171035099381161,2,-0.33272653906450067,-0.33372280662912357,-0.33301810855329783,-0.3303676028860902,-0.3282193169845784,-0.33161087482351814,0.002036352577803463
3,48.85601954460144,0.49276073193757064,0.002103900909423828,0.0033020354123974175,0.3,6,0.7,12,0,9,6,0,600,"{'ccp_alpha': 0.3, 'max_depth': 6, 'max_features': 0.7, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.327224219105111,-0.32321538493455365,-0.3260193283104379,-0.33661997518100056,-0.3453137387915626,-0.3316785292645331,0.008171035099381161,2,-0.33272653906450067,-0.33372280662912357,-0.33301810855329783,-0.3303676028860902,-0.3282193169845784,-0.33161087482351814,0.002036352577803463
4,49.00079603195191,0.6079213100579366,0.0021965503692626953,0.0018304736424958343,0.4,6,0.7,12,0,9,6,0,600,"{'ccp_alpha': 0.4, 'max_depth': 6, 'max_features': 0.7, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.327224219105111,-0.32321538493455365,-0.3260193283104379,-0.33661997518100056,-0.3453137387915626,-0.3316785292645331,0.008171035099381161,2,-0.33272653906450067,-0.33372280662912357,-0.33301810855329783,-0.3303676028860902,-0.3282193169845784,-0.33161087482351814,0.002036352577803463
5,49.67839207649231,0.22910797995371268,0.0015988826751708984,0.001958223880328777,0.5,6,0.7,12,0,9,6,0,600,"{'ccp_alpha': 0.5, 'max_depth': 6, 'max_features': 0.7, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.327224219105111,-0.32321538493455365,-0.3260193283104379,-0.33661997518100056,-0.3453137387915626,-0.3316785292645331,0.008171035099381161,2,-0.33272653906450067,-0.33372280662912357,-0.33301810855329783,-0.3303676028860902,-0.3282193169845784,-0.33161087482351814,0.002036352577803463
6,49.707772970199585,0.28630614755238737,0.0037240028381347657,0.006496362806214743,0.6,6,0.7,12,0,9,6,0,600,"{'ccp_alpha': 0.6, 'max_depth': 6, 'max_features': 0.7, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.327224219105111,-0.32321538493455365,-0.3260193283104379,-0.33661997518100056,-0.3453137387915626,-0.3316785292645331,0.008171035099381161,2,-0.33272653906450067,-0.33372280662912357,-0.33301810855329783,-0.3303676028860902,-0.3282193169845784,-0.33161087482351814,0.002036352577803463
7,49.75648937225342,0.3176116399750293,0.003124380111694336,0.006248760223388672,0.7,6,0.7,12,0,9,6,0,600,"{'ccp_alpha': 0.7, 'max_depth': 6, 'max_features': 0.7, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.327224219105111,-0.32321538493455365,-0.3260193283104379,-0.33661997518100056,-0.3453137387915626,-0.3316785292645331,0.008171035099381161,2,-0.33272653906450067,-0.33372280662912357,-0.33301810855329783,-0.3303676028860902,-0.3282193169845784,-0.33161087482351814,0.002036352577803463
8,49.69383020401001,0.3459196524510812,0.0011977195739746095,0.0015974764565720736,0.8,6,0.7,12,0,9,6,0,600,"{'ccp_alpha': 0.8, 'max_depth': 6, 'max_features': 0.7, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.327224219105111,-0.32321538493455365,-0.3260193283104379,-0.33661997518100056,-0.3453137387915626,-0.3316785292645331,0.008171035099381161,2,-0.33272653906450067,-0.33372280662912357,-0.33301810855329783,-0.3303676028860902,-0.3282193169845784,-0.33161087482351814,0.002036352577803463
9,49.877170372009275,0.3328400086314627,0.00712733268737793,0.004743615676781854,0.9,6,0.7,12,0,9,6,0,600,"{'ccp_alpha': 0.9, 'max_depth': 6, 'max_features': 0.7, 'max_leaf_nodes': 12, 'min_impurity_decrease': 0, 'min_samples_leaf': 9, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0, 'n_estimators': 600}",-0.327224219105111,-0.32321538493455365,-0.3260193283104379,-0.33661997518100056,-0.3453137387915626,-0.3316785292645331,0.008171035099381161,2,-0.33272653906450067,-0.33372280662912357,-0.33301810855329783,-0.3303676028860902,-0.3282193169845784,-0.33161087482351814,0.002036352577803463
