,true,predict,make,model,score,alpha,epsilon,max_iter
14646,9.959395184474424,10.082627542191338,Opel,Grandland X,-0.013762396716417116,5.0,1.35,600
8347,10.165659490817816,10.277318271852689,Opel,Grandland X,-0.013762396716417116,5.0,1.35,600
8142,10.124629101179664,10.227017200973787,Opel,Grandland X,-0.013762396716417116,5.0,1.35,600
4099,10.062625773874425,9.684608451473359,Opel,Grandland X,-0.013762396716417116,5.0,1.35,600
7612,10.34158118013602,10.361468810276259,Opel,Grandland X,-0.013762396716417116,5.0,1.35,600
11689,10.063691304076464,10.040125251992862,Opel,Grandland X,-0.013762396716417116,5.0,1.35,600
16680,10.146433731146518,10.227002376472031,Opel,Grandland X,-0.013762396716417116,5.0,1.35,600
15059,10.307284603543595,10.442821363492923,Opel,Grandland X,-0.013762396716417116,5.0,1.35,600
2480,10.077230753555211,10.171700109269914,Opel,Grandland X,-0.013762396716417116,5.0,1.35,600
10612,10.163926888594034,10.120759708572477,Opel,Grandland X,-0.013762396716417116,5.0,1.35,600
9599,10.643041105910228,10.68748220973964,Opel,Grandland X,-0.013762396716417116,5.0,1.35,600
4619,10.1226230824528,10.035705770576966,Opel,Grandland X,-0.013762396716417116,5.0,1.35,600
2168,10.201738576337144,10.188421485127343,Opel,Grandland X,-0.013762396716417116,5.0,1.35,600
9370,10.1226230824528,10.129285044374434,Opel,Grandland X,-0.013762396716417116,5.0,1.35,600
4356,10.544024782823776,10.512654771562035,Opel,Grandland X,-0.013762396716417116,5.0,1.35,600
15021,10.49515556414622,10.497671742572827,Opel,Grandland X,-0.013762396716417116,5.0,1.35,600
14267,10.04107321548869,10.11580206142063,Opel,Grandland X,-0.013762396716417116,5.0,1.35,600
1863,9.792555991828847,9.7036277752126,Opel,Mokka,-0.004878609320489974,7.0,1.35,600
6285,10.355995266977605,10.394223452059576,Opel,Mokka,-0.004878609320489974,7.0,1.35,600
11409,10.425253116340453,10.330379504114736,Opel,Mokka,-0.004878609320489974,7.0,1.35,600
7735,10.248848736574587,10.329804810350414,Opel,Mokka,-0.004878609320489974,7.0,1.35,600
1796,9.546455401949554,9.380826764258847,Opel,Mokka,-0.004878609320489974,7.0,1.35,600
8948,9.67721410821299,9.657745793820686,Opel,Mokka,-0.004878609320489974,7.0,1.35,600
